Team,Avg Wins,Make Playoffs,Reach Super Bowl,Win Super Bowl,Total DVOA,Total DVOA Rk,Off DVOA,Off DVOA Rk,Def DVOA,Def DVOA Rk,ST DVOA,ST DVOA Rk,Average Opponent,Average Opponent Rk
BUF,11.9,88.50%,26.10%,14.70%,19.30%,3,16.80%,2,-2.90%,8,-0.40%,23,-3.60%,27
BAL,11.8,89.00%,31.20%,19.10%,24.10%,1,14.90%,4,5.10%,4,1.10%,9,-1.70%,19
SF,11.2,79.70%,17.70%,8.60%,13.70%,6,15.10%,3,-0.30%,9,-1.90%,30,5.40%,32
DET,10.7,76.90%,22.20%,12.10%,20.40%,2,19.40%,1,1.40%,6,-0.30%,21,-0.50%,16
KC,10.6,74.60%,15.20%,8.10%,15.90%,4,11.60%,10,-2.90%,7,1.90%,1,2.50%,6
WSH,10.6,74.10%,17.40%,8.90%,15.90%,5,15.20%,3,0.10%,17,0.80%,7,1.40%,12
DEN,9.5,57.50%,5.60%,2.50%,5.40%,10,-1.30%,18,-7.00%,32,-0.30%,20,0.90%,18
PHI,9.4,57.40%,9.10%,4.40%,11.00%,7,6.30%,8,1.80%,12,2.20%,3,-3.20%,26
TB,9.4,63.60%,6.90%,2.80%,3.80%,12,7.40%,9,2.20%,23,-1.40%,31,-1.40%,21
ARI,9.2,50.70%,4.70%,2.00%,3.00%,13,0.30%,16,-3.20%,27,0.70%,8,-2.20%,24
CIN,9.1,51.40%,4.90%,2.20%,5.30%,11,0.70%,15,2.70%,22,0.70%,6,-2.20%,9
LAR,9.1,49.90%,5.20%,2.10%,4.80%,11,6.50%,7,-1.70%,26,-0.20%,15,0.60%,14
JAX,9,54.70%,3.70%,1.40%,-0.60%,17,-2.60%,19,-1.80%,16,0.20%,10,-3.70%,28
GB,8.9,47.50%,5.50%,2.30%,6.30%,8,4.50%,11,1.40%,19,0.40%,14,-2.80%,25
MIA,8.8,44.90%,2.60%,1.00%,1.60%,14,4.30%,12,5.80%,29,0.40%,16,-2.80%,25
HOU,8.5,47.60%,3.50%,1.40%,0.50%,15,-4.30%,14,-4.50%,30,0.10%,15,1.00%,13
ATL,8.4,43.70%,2.60%,0.80%,-4.30%,21,3.80%,13,7.40%,31,-0.70%,27,-3.90%,30
LV,8.3,38.60%,2.10%,0.90%,-2.90%,20,8.30%,5,-2.20%,11,0.60%,11,-1.40%,23
NE,8.1,32.80%,1.20%,0.40%,-7.90%,25,-8.70%,25,1.60%,22,-0.50%,19,-3.80%,29
CHI,8,33.10%,2.10%,0.80%,-4.20%,19,-2.40%,17,-2.00%,17,-1.60%,29,-1.00%,20
MIN,7.9,32.00%,2.40%,0.90%,0.00%,16,-10.70%,26,10.70%,1,0.30%,13,-3.80%,31
SEA,7.9,31.90%,2.10%,0.80%,-4.60%,22,3.10%,14,-7.50%,29,-0.70%,28,4.10%,4
LAC,7.8,31.00%,1.40%,0.50%,-4.60%,22,0.90%,21,5.10%,26,0.40%,18,0.40%,22
DAL,7.8,29.50%,1.30%,0.50%,-4.80%,23,-2.30%,23,1.70%,15,-0.30%,24,1.60%,11
PIT,7.7,29.50%,1.30%,0.50%,-4.60%,23,-4.30%,24,1.50%,14,0.10%,21,-1.40%,17
IND,7.7,28.50%,1.30%,0.50%,-8.30%,26,-2.40%,20,-5.90%,28,-0.40%,25,-0.60%,15
TEN,6.3,16.40%,1.00%,0.10%,-17.40%,29,-4.10%,19,-13.30%,30,0.00%,12,0.30%,8
NYG,6.2,12.80%,0.90%,0.10%,-17.40%,29,-3.10%,22,-14.40%,31,0.10%,20,-0.50%,10
CLE,6,11.70%,1.00%,0.10%,-13.70%,28,-8.40%,28,-5.30%,25,0.00%,23,-2.90%,5
NO,5.9,12.10%,0.90%,0.10%,-11.00%,27,-3.90%,27,-6.80%,27,-0.30%,26,-1.80%,12
NYJ,5.9,9.70%,0.70%,0.00%,-19.30%,30,-3.20%,30,-14.00%,30,-2.40%,32,0.60%,7
CAR,5.5,9.50%,0.10%,0.00%,-22.10%,32,-10.70%,28,-12.00%,32,-0.70%,26,-1.80%,22
