week,game_num,matchup,kickoff_local,venue,home_team,away_team,open_spread_home,open_spread_away,circa_spread_home,circa_spread_away,current_spread_home,current_spread_away,closing_spread_home,closing_spread_away,line_value_current_home,line_value_current_away,line_value_closing_home,line_value_closing_away,line_value_home,line_value_away,off_epa_per_play_home,off_epa_per_play_away,def_epa_per_play_home,def_epa_per_play_away,total_dvoa_home,total_dvoa_away,off_dvoa_home,off_dvoa_away,def_dvoa_home,def_dvoa_away,st_dvoa_home,st_dvoa_away,rest_days_home,rest_days_away,rest_days_diff,injuries_key_home,injuries_key_away,weather_notes,circa_spread_price_home,circa_spread_price_away
1,1,ARI @ NO,1:00 PM,,NO,ARI,,,,,5.5,-5.5,,,,,,,,,,,,,-11.0,3.0,-3.9,0.3,-6.8,-3.2,-0.3,0.7,6,6,0,,,,,
1,2,CAR @ JAX,1:00 PM,,JAX,CAR,,,,,-2.5,2.5,,,,,,,,,,,,,-0.6,-22.1,-2.6,-10.7,-1.8,-12.0,0.2,-0.7,6,6,0,,,,,
1,3,CIN @ CLE,1:00 PM,,CLE,CIN,,,,,8.5,-8.5,,,,,,,,,,,,,-13.7,5.3,-8.4,0.7,-5.3,2.7,0.0,0.7,6,6,0,,,,,
1,4,LV @ NE,1:00 PM,,NE,LV,,,,,-3.0,3.0,,,,,,,,,,,,,-7.9,-2.9,-8.7,8.3,1.6,-2.2,-0.5,0.6,6,6,0,,,,,
1,5,MIA @ IND,1:00 PM,,IND,MIA,,,,,-1.5,1.5,,,,,,,,,,,,,-8.3,1.6,-2.4,4.3,-5.9,5.8,-0.4,0.4,6,6,0,,,,,
1,6,NYG @ WSH,1:00 PM,,WSH,NYG,,,,,0.0,0.0,,,,,,,,,,,,,15.9,-17.4,15.2,-3.1,0.1,-14.4,0.8,0.1,6,6,0,,,,,
1,7,PIT @ NYJ,1:00 PM,,NYJ,PIT,,,,,3.0,-3.0,,,,,,,,,,,,,-19.3,-4.6,-3.2,-4.3,-14.0,1.5,-2.4,0.1,6,6,0,,,,,
1,8,TB @ ATL,1:00 PM,,ATL,TB,,,,,5.5,-5.5,,,,,,,,,,,,,-4.3,3.8,3.8,7.4,7.4,2.2,-0.7,-1.4,6,6,0,,,,,
1,9,SF @ SEA,4:05 PM,,SEA,SF,,,,,4.5,-4.5,,,,,,,,,,,,,-4.6,13.7,3.1,15.1,-7.5,-0.3,-0.7,-1.9,6,6,0,,,,,
1,10,TEN @ DEN,4:05 PM,,DEN,TEN,,,,,-7.5,7.5,,,,,,,,,,,,,5.4,-17.4,-1.3,-4.1,-7.0,-13.3,-0.3,0.0,6,6,0,,,,,
1,11,DET @ GB,4:25 PM,,GB,DET,,,,,2.5,-2.5,,,,,,,,,,,,,6.3,20.4,4.5,19.4,1.4,1.4,0.4,-0.3,6,6,0,,,,,
1,12,HOU @ LAR,4:25 PM,,LAR,HOU,,,,,-2.5,2.5,,,,,,,,,,,,,4.8,0.5,6.5,-4.3,-1.7,-4.5,-0.2,0.1,6,6,0,,,,,
1,13,KC @ LAC,8:00 PM,,LAC,KC,,,,,4.5,-4.5,,,,,,,,,,,,,-4.6,15.9,0.9,11.6,5.1,-2.9,0.4,1.9,6,6,0,,,,,
1,14,MIN @ CHI,8:15 PM,,CHI,MIN,,,,,2.5,-2.5,,,,,,,,,,,,,-4.2,0.0,-2.4,-10.7,-2.0,10.7,-1.6,0.3,6,6,0,,,,,
1,15,BAL @ BUF,8:20 PM,,BUF,BAL,,,,,-1.5,1.5,,,,,,,,,,,,,19.3,24.1,16.8,14.9,-2.9,5.1,-0.4,1.1,6,6,0,,,,,
1,16,DAL @ PHI,8:20 PM,,PHI,DAL,,,,,-4.5,4.5,,,,,,,,,,,,,11.0,-4.8,6.3,-2.3,1.8,1.7,2.2,-0.3,6,6,0,,,,,
