week,date,time,vistm,hometm
1,2025-09-04 00:00:00,8:20 PM,DAL,PHI
1,2025-09-05 00:00:00,8:00 PM,KC,LAC
1,2025-09-07 00:00:00,1:00 PM,TB,ATL
1,2025-09-07 00:00:00,1:00 PM,CIN,CLE
1,2025-09-07 00:00:00,1:00 PM,MIA,IND
1,2025-09-07 00:00:00,1:00 PM,CAR,JAX
1,2025-09-07 00:00:00,1:00 PM,ARI,NO
1,2025-09-07 00:00:00,1:00 PM,LV,NE
1,2025-09-07 00:00:00,1:00 PM,PIT,NYJ
1,2025-09-07 00:00:00,1:00 PM,NYG,WSH
1,2025-09-07 00:00:00,4:05 PM,TEN,DEN
1,2025-09-07 00:00:00,4:05 PM,SF,SEA
1,2025-09-07 00:00:00,4:25 PM,DET,GB
1,2025-09-07 00:00:00,4:25 PM,HOU,LAR
1,2025-09-07 00:00:00,8:20 PM,BAL,BUF
1,2025-09-08 00:00:00,8:15 PM,MIN,CHI
2,2025-09-11 00:00:00,8:15 PM,WSH,GB
2,2025-09-14 00:00:00,1:00 PM,JAX,CIN
2,2025-09-14 00:00:00,1:00 PM,NYG,DAL
2,2025-09-14 00:00:00,1:00 PM,CHI,DET
2,2025-09-14 00:00:00,1:00 PM,NE,MIA
2,2025-09-14 00:00:00,1:00 PM,SF,NO
2,2025-09-14 00:00:00,1:00 PM,BUF,NYJ
2,2025-09-14 00:00:00,1:00 PM,LAR,TEN
2,2025-09-14 00:00:00,1:00 PM,SEA,PIT
2,2025-09-14 00:00:00,1:00 PM,CLE,BAL
2,2025-09-14 00:00:00,4:05 PM,DEN,IND
2,2025-09-14 00:00:00,4:05 PM,CAR,ARI
2,2025-09-14 00:00:00,4:25 PM,PHI,KC
2,2025-09-14 00:00:00,8:20 PM,ATL,MIN
2,2025-09-15 00:00:00,7:00 PM,TB,HOU
2,2025-09-15 00:00:00,10:00 PM,LAC,LV
3,2025-09-18 00:00:00,8:15 PM,MIA,BUF
3,2025-09-21 00:00:00,1:00 PM,ATL,CAR
3,2025-09-21 00:00:00,1:00 PM,GB,CLE
3,2025-09-21 00:00:00,1:00 PM,HOU,JAX
3,2025-09-21 00:00:00,1:00 PM,CIN,MIN
