TEAM,TOT DVOA,Rank,NON-ADJ VOA,W-L,LAST WEEK,Off DVOA,Rank,Def DVOA,Rank,ST DVOA,Rank,Off VOA,Def VOA,ST VOA,EST WINS,Rank,WEI DVOA,Rank,SCHED,Rank,FUTURE,Rank,VAR,Rank,Week,Year
ARI,8.8,12,5.6,9-Aug,17,8.4,11,-0.6,14,-0.2,18,9.3,4.3,0.5,9.4,15,7.7,14,3.2,6,0,1,16,26,18,2024
ATL,-7.3,20,-5.3,9-Aug,19,4.4,14,7.5,29,-4.1,29,6.9,9,-3.2,7.3,19,-14.1,25,-1.2,19,0,1,11.7,15,18,2024
BAL,41.4,1,36.3,5-Dec,1,35.1,1,-8.1,6,-1.9,23,33.5,-5.2,-2.4,13,2,45.7,1,0.4,17,0,1,14.7,23,18,2024
BUF,22.7,4,24,13-4,3,20.7,2,-4.7,11,-2.7,28,24,-3,-2.9,11.3,6,21.1,6,-2.4,24,0,1,13.9,21,18,2024
CAR,-32.9,30,-35.2,12-May,31,-11.6,24,19.2,32,-2.1,25,-11.8,21.6,-1.8,5,27,-27.7,30,0.6,16,0,1,21,30,18,2024
CHI,-12.7,25,-16.4,12-May,25,-13.1,27,3.7,22,4.1,5,-14.6,5.5,3.7,6.7,24,-10.8,23,4.1,3,0,1,14,22,18,2024
CIN,7,13,4.3,8-Sep,16,14,5,6.4,27,-0.5,20,13.2,8,-0.9,9.9,10,9,12,-3.4,27,0,1,6.9,7,18,2024
CLE,-39.9,32,-43.8,14-Mar,32,-31.7,32,4,25,-4.2,30,-32,7.4,-4.4,1.9,32,-37.1,31,5.6,1,0,1,10.8,11,18,2024
DAL,-11.6,24,-16.3,10-Jul,23,-12.3,25,3.9,24,4.6,3,-12.8,8.8,5.3,6.7,23,-6.7,20,2.5,9,0,1,13.6,19,18,2024
DEN,16.3,6,19.3,7-Oct,12,-0.4,16,-12.4,4,4.4,4,0.7,-13.3,5.4,9.8,11,21.6,5,-1.6,22,0,1,24.2,32,18,2024
DET,34.8,2,32,15-2,2,19.9,3,-9.5,5,5.4,1,20.6,-5.4,6.1,13.5,1,31.5,2,2.7,8,0,1,11.5,14,18,2024
GB,24.5,3,20.1,6-Nov,4,17.3,4,-7.1,7,0.2,15,15.4,-4.8,-0.1,12.7,3,30.2,3,2.8,7,0,1,10.7,10,18,2024
HOU,5.3,16,4.3,7-Oct,14,-12.4,26,-15.3,3,2.3,8,-10.3,-11.6,2.9,8.9,17,-0.1,17,-2.2,23,0,1,10,9,18,2024
IND,-7.1,19,-6.1,9-Aug,21,-5.1,20,0.9,15,-1.1,21,-4.8,0.9,-0.4,7.1,20,-8.7,21,-3.3,26,0,1,5.4,2,18,2024
JAX,-17.7,26,-17.8,13-Apr,26,-2.1,17,18.6,31,3,6,-4.6,16.9,3.6,5.9,26,-13.4,24,-4.4,30,0,1,11.8,16,18,2024
KC,14.7,8,7.1,15-2,6,10.8,8,-2.7,12,1.2,12,10.1,3.8,0.7,10.5,7,9.9,10,1.6,12,0,1,22.1,31,18,2024
LAC,12.6,9,13.7,6-Nov,9,7.5,12,-5,9,0.1,16,8.9,-4.3,0.5,10.2,8,15.2,7,-3.4,28,0,1,6.5,5,18,2024
LAR,5.1,17,0.3,7-Oct,15,9.8,10,4.4,26,-0.2,19,8.2,7.6,-0.4,9.6,14,11.7,9,3.6,5,0,1,6.7,6,18,2024
LV,-19.6,27,-22.5,13-Apr,27,-17.8,29,1.7,18,-0.1,17,-18.7,4.5,0.6,4.4,30,-15,26,2.3,10,0,1,5.3,1,18,2024
MIA,-9.8,21,-6.4,9-Aug,20,-9.1,22,1.9,19,1.2,11,-5.8,2.1,1.4,7,21,1.4,16,-6,32,0,1,13.2,18,18,2024
MIN,16.1,7,8.8,14-3,7,2.9,15,-15.5,2,-2.3,27,2.4,-8.2,-1.8,11.5,4,9.5,11,1.3,14,0,1,5.6,3,18,2024
NE,-29.7,29,-31.3,13-Apr,30,-18.7,30,12.1,30,1.1,13,-16.9,15.2,0.8,4.9,28,-25.9,29,-1.2,20,0,1,17.5,29,18,2024
NO,-10.6,22,-8,12-May,22,-9.7,23,3.5,21,2.6,7,-5.3,5.8,3.1,6,25,-23,27,-2.9,25,0,1,16.9,27,18,2024
NYG,-21.9,28,-26.9,14-Mar,28,-13.6,28,6.6,28,-1.7,22,-14.4,10.4,-2.1,4.5,29,-24,28,1.6,11,0,1,7.3,8,18,2024
NYJ,-11.4,23,-11.4,12-May,24,-6,21,3.5,20,-2,24,-4.7,4.5,-2.2,6.7,22,-10,22,-1.5,21,0,1,11,13,18,2024
PHI,21.3,5,20.7,14-3,5,4.8,13,-16.2,1,0.3,14,9.5,-11.8,-0.6,11.3,5,28.2,4,-3.5,29,0,1,11.8,17,18,2024
PIT,6.3,15,2.8,7-Oct,13,-5.1,19,-6,8,5.3,2,-4.9,-3,4.6,9.6,13,1.7,15,0.9,15,0,1,10.9,12,18,2024
SEA,2.3,18,-4.8,7-Oct,18,-3.9,18,-4.9,10,1.3,10,-2.5,2.9,0.6,7.9,18,-1.9,19,3.7,4,0,1,17.1,28,18,2024
SF,6.7,14,1.1,11-Jun,10,10.6,9,-1.6,13,-5.6,31,11,4.6,-5.3,9,16,-0.2,18,4.7,2,0,1,13.8,20,18,2024
TB,9.4,11,11.5,7-Oct,11,12.7,7,1.2,16,-2.1,26,16.4,3.2,-1.7,10.1,9,7.9,13,0.3,18,0,1,15.6,25,18,2024
TEN,-33.5,31,-34.8,14-Mar,29,-23.4,31,1.7,17,-8.4,32,-22.5,4.3,-7.9,2.5,31,-37.4,32,1.6,13,0,1,5.8,4,18,2024
WAS,11.5,10,11.6,5-Dec,8,13.3,6,3.8,23,2.1,9,15.3,5.4,1.7,9.6,12,12.8,8,-5.2,31,0,1,15.6,24,18,2024
