Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,TG,W13,W14,W15,W16,CH,Cross_Weeks,Cross_Weeks_Pipe,Cross_Weeks_N
PHI,DAL (H),,,,,ARI (A),,,,,,,CHI (H),,,LV (H),,,"1,6,TG,15",1|6|TG|15,4
ARI,NO (A),,,,TEN (H),,,,,,,,,,,,,,"1,5",1|5,2
DEN,TEN (H),,,,,NYJ (A),NYG (H),,LV (H),,,,,,,,,,"1,6,7,9",1|6|7|9,4
LAR,,TEN (A),,,,,,,,,,,,,,,,,2,2,1
CIN,,JAX (A),,,,,NYJ (H),,,,NE (H),,,,,,,,"2,7,11",2|7|11,3
BAL,,CLE (H),,,TEN (H),,,,NYJ (H),,,,,NE (H),,,,,"2,5,9,13",2|5|9|13,4
BUF,,NYJ (A),MIA (H),NO (H),NE (H),,CAR (A),,,,,,,,,,,,"2,3,4,5,7",2|3|4|5|7,5
SF,,NO (A),,JAX (H),,ATL (H),,,CAR (H),,CLE (A),,,TEN (H),,,,,"2,4,6,9,11,13",2|4|6|9|11|13,6
TB,,,NYJ (H),,,,NO (A),,NE (H),,,,NO (H),ATL (H),,,,,"3,7,9,TG,13",3|7|9|TG|13,5
GB,,,CLE (A),,,,,,CAR (A),,,,,,,,,,"3,9",3|9,2
SEA,,,NO (H),,,,,,,,,,,,,,,,3,3,1
KC,,,NYG (A),,,,,,IND (H),DAL (A),,DAL (A),,,,TEN (A),,,"3,9,10,12,15",3|9|10|12|15,5
HOU,,,,TEN (H),,,,,,,,,,,,,,,4,4,1
DET,,,,CLE (H),,,,,,,,GB (H),,,,PIT (H),MIN (A),,"4,12,15,16",4|12|15|16,4
MIN,,,,,CLE (A),,,,,,,,,,,,,,5,5,1
PIT,,,,,,CLE (H),,,,,,,,BAL (H),,,,,"6,13",6|13,2
NE,,,,,BUF (H),NO (A),,,,NYJ (H),,,,,,,,,"5,6,10",5|6|10,3
CHI,,,,,,,NO (H),,,,,,,,,,,,7,7,1
LAC,,,,,,,IND (H),TEN (A),PIT (H),JAX (A),,,LV (H),,,,,,"7,8,9,10,TG",7|8|9|10|TG,5
LV,,,,,,TEN (H),,,,DEN (H),,,,,,,,,"6,10",6|10,2
MIA,,,,,,,,,,,,,,NO (H),,,,,13,13,1
NYJ,,,,,,DEN (H),,,,,,,,,,,,,6,6,1
WSH,,,,,,,,,,,,,,,,,DAL (A),,16,16,1
