week,week_num,Team,opponent,home_or_away,date,time,vistm,hometm,week_sched,schedule_match
W1,1,PHI,DAL,H,2025-09-04 00:00:00,8:20 PM,DAL,PHI,1,True
W1,1,ARI,NO,A,2025-09-07 00:00:00,1:00 PM,ARI,NO,1,True
W1,1,DEN,TEN,H,2025-09-07 00:00:00,4:05 PM,TEN,DEN,1,True
W2,2,LAR,TEN,A,2025-09-14 00:00:00,1:00 PM,LAR,TEN,2,True
W2,2,CIN,JAX,A,2025-09-14 00:00:00,1:00 PM,JAX,CIN,2,True
W2,2,BAL,CLE,H,2025-09-14 00:00:00,1:00 PM,CLE,BAL,2,True
W2,2,BUF,NYJ,A,2025-09-14 00:00:00,1:00 PM,BUF,NYJ,2,True
W2,2,SF,NO,A,2025-09-14 00:00:00,1:00 PM,SF,NO,2,True
W3,3,BUF,MIA,H,2025-09-18 00:00:00,8:15 PM,MIA,BUF,3,True
W3,3,TB,NYJ,H,2025-09-21 00:00:00,1:00 PM,NYJ,TB,3,True
W3,3,GB,CLE,A,2025-09-21 00:00:00,1:00 PM,GB,CLE,3,True
W3,3,SEA,NO,H,2025-09-21 00:00:00,4:05 PM,NO,SEA,3,True
W3,3,KC,NYG,A,2025-09-21 00:00:00,8:20 PM,KC,NYG,3,True
W4,4,BUF,NO,H,2025-09-28 00:00:00,1:00 PM,NO,BUF,4,True
W4,4,SF,JAX,H,2025-09-28 00:00:00,4:05 PM,JAX,SF,4,True
W4,4,HOU,TEN,H,2025-09-28 00:00:00,1:00 PM,TEN,HOU,4,True
W4,4,DET,CLE,H,2025-09-28 00:00:00,1:00 PM,CLE,DET,4,True
W5,5,ARI,TEN,H,2025-10-05 00:00:00,4:05 PM,TEN,ARI,5,True
W5,5,BAL,TEN,H,,,,,,False
W5,5,BUF,NE,H,2025-10-05 00:00:00,8:20 PM,NE,BUF,5,True
W5,5,MIN,CLE,A,2025-10-05 00:00:00,9:30 AM,MIN,CLE,5,True
W5,5,NE,BUF,H,2025-10-05 00:00:00,8:20 PM,NE,BUF,5,True
W6,6,PHI,ARI,A,,,,,,False
W6,6,DEN,NYJ,A,2025-10-12 00:00:00,9:30 AM,DEN,NYJ,6,True
W6,6,SF,ATL,H,,,,,,False
W6,6,PIT,CLE,H,2025-10-12 00:00:00,1:00 PM,CLE,PIT,6,True
W6,6,NE,NO,A,2025-10-12 00:00:00,4:25 PM,NE,NO,6,True
W6,6,LV,TEN,H,2025-10-12 00:00:00,4:05 PM,TEN,LV,6,True
W6,6,NYJ,DEN,H,2025-10-12 00:00:00,9:30 AM,DEN,NYJ,6,True
W7,7,DEN,NYG,H,2025-10-19 00:00:00,4:05 PM,NYG,DEN,7,True
W7,7,CIN,NYJ,H,,,,,,False
W7,7,BUF,CAR,A,,,,,,False
W7,7,TB,NO,A,,,,,,False
W7,7,CHI,NO,H,2025-10-19 00:00:00,1:00 PM,NO,CHI,7,True
W7,7,LAC,IND,H,2025-10-19 00:00:00,4:05 PM,IND,LAC,7,True
W8,8,LAC,TEN,A,,,,,,False
W9,9,DEN,LV,H,,,,,,False
W9,9,BAL,NYJ,H,,,,,,False
W9,9,SF,CAR,H,,,,,,False
W9,9,TB,NE,H,,,,,,False
W9,9,GB,CAR,A,2025-11-02 00:00:00,1:00 PM,CAR,GB,9,True
W9,9,KC,IND,H,,,,,,False
W9,9,LAC,PIT,H,,,,,,False
W10,10,KC,DAL,A,,,,,,False
W10,10,NE,NYJ,H,,,,,,False
W10,10,LAC,JAX,A,,,,,,False
W10,10,LV,DEN,H,2025-11-06 00:00:00,8:15 PM,LV,DEN,10,True
W11,11,CIN,NE,H,,,,,,False
W11,11,SF,CLE,A,,,,,,False
W12,12,KC,DAL,A,,,,,,False
W12,12,DET,GB,H,,,,,,False
TG,12,PHI,CHI,H,,,,,,False
TG,12,TB,NO,H,,,,,,False
TG,12,LAC,LV,H,,,,,,False
W13,13,BAL,NE,H,,,,,,False
W13,13,SF,TEN,H,,,,,,False
W13,13,TB,ATL,H,,,,,,False
W13,13,PIT,BAL,H,,,,,,False
W13,13,MIA,NO,H,2025-11-30 00:00:00,1:00 PM,NO,MIA,13,True
W15,15,PHI,LV,H,2025-12-14 00:00:00,1:00 PM,LV,PHI,15,True
W15,15,KC,TEN,A,,,,,,False
W15,15,DET,PIT,H,,,,,,False
W16,16,DET,MIN,A,,,,,,False
W16,16,WSH,DAL,A,,,,,,False
