season,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
2015,110,172,158,144,164,189,79,94,154,132
2016,118,159,149,142,163,135,98,96,180,129
2017,145,132,136,105,149,133,82,140,160,106
2018,194,167,132,129,146,131,127,144,151,104
2019,144,180,145,175,147,114,108,149,131,101
2020,165,258,124,178,153,141,62,192,172,98
2021,137,216,118,158,137,162,94,187,188,95
2022,150,183,127,141,146,126,113,162,151,90
2023,137,181,101,167,143,131,112,167,150,88
2024,8,5,2,10,7,8,8,5,10,4
