,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,8,8,5,11,10,7,4,9,3,4
2,6,10,6,12,5,11,8,10,10,10
3,5,11,4,8,6,3,4,10,11,10
4,11,7,5,11,12,10,2,4,12,5
5,3,11,11,5,6,6,4,12,6,4
6,6,10,3,8,7,3,3,4,4,4
7,5,12,3,9,7,6,3,8,6,5
8,10,13,4,9,6,9,6,16,5,4
9,2,10,7,7,5,9,4,6,11,2
10,3,8,4,11,7,6,7,9,7,4
11,9,9,2,4,10,6,12,6,3,3
12,7,8,5,14,8,3,6,9,9,6
13,9,12,3,7,10,5,6,6,7,7
14,8,10,9,4,7,7,7,7,12,3
15,4,15,4,9,10,13,5,10,7,6
16,9,7,11,12,11,10,7,10,7,2
17,12,11,5,10,10,5,5,9,8,3
18,10,5,7,5,2,4,12,8,13,1
19,5,1,1,4,2,2,5,9,5,3
20,4,1,1,4,1,3,1,4,4,0
21,1,1,0,2,1,2,1,1,0,2
22,0,1,1,1,0,1,0,0,0,0
TOTAL,137,181,101,167,143,131,112,167,150,88
