week,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,11,12,3,10,5,8,8,6,7,6
2,8,11,4,3,14,4,6,4,6,0
3,9,9,10,7,7,11,11,4,7,4
4,6,10,10,11,8,7,9,6,9,5
5,9,11,11,8,6,9,2,6,10,3
6,6,10,8,6,9,12,4,11,4,7
7,3,12,5,13,8,8,6,5,7,8
8,6,15,3,5,6,13,7,7,16,9
9,6,11,4,7,9,11,8,9,12,4
10,12,11,2,1,6,3,3,10,8,3
11,7,9,1,8,9,9,6,9,9,9
12,8,5,2,10,7,8,8,5,10,4
13,6,9,5,11,7,9,6,11,9,11
14,5,11,5,10,4,11,6,9,9,2
15,7,10,7,9,6,8,7,15,6,5
16,11,11,5,8,12,9,5,10,11,8
17,3,11,3,9,9,10,8,13,9,10
18,2,6,10,4,11,6,8,11,11,14
19,0,2,4,5,2,1,2,5,4,0
20,2,1,2,0,0,0,7,6,3,3
21,0,6,0,1,2,3,3,1,1,1
22,0,4,0,1,0,0,1,0,1,0
TOTAL,127,197,104,147,147,160,131,163,169,116
