team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,TG,CH
ARI,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
ATL,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
BAL,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N
BUF,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N
CAR,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHI,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
CIN,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
CLE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DAL,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
DEN,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
DET,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y
GB,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
HOU,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
IND,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
JAX,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
KC,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N
LAC,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N
LAR,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
LV,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
MIA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
MIN,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
NE,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N
NO,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYG,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYJ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
PHI,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N
PIT,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
SEA,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
SF,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N
TB,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N
TEN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
WSH,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
