home,away,book,market,outcomes
Philadelphia Eagles,Dallas Cowboys,draftkings,h2h,Dallas Cowboys/Philadelphia Eagles
Philadelphia Eagles,Dallas Cowboys,draftkings,spreads,Dallas Cowboys/Philadelphia Eagles
Philadelphia Eagles,Dallas Cowboys,draftkings,totals,Over/Under
Philadelphia Eagles,Dallas Cowboys,betmgm,h2h,Dallas Cowboys/Philadelphia Eagles
Philadelphia Eagles,Dallas Cowboys,betmgm,spreads,Dallas Cowboys/Philadelphia Eagles
Philadelphia Eagles,Dallas Cowboys,betmgm,totals,Over/Under
Philadelphia Eagles,Dallas Cowboys,fanduel,h2h,Dallas Cowboys/Philadelphia Eagles
Philadelphia Eagles,Dallas Cowboys,fanduel,spreads,Dallas Cowboys/Philadelphia Eagles
Philadelphia Eagles,Dallas Cowboys,fanduel,totals,Over/Under
Los Angeles Chargers,Kansas City Chiefs,fanduel,h2h,Kansas City Chiefs/Los Angeles Chargers
Los Angeles Chargers,Kansas City Chiefs,fanduel,spreads,Kansas City Chiefs/Los Angeles Chargers
Los Angeles Chargers,Kansas City Chiefs,fanduel,totals,Over/Under
Los Angeles Chargers,Kansas City Chiefs,draftkings,h2h,Kansas City Chiefs/Los Angeles Chargers
Los Angeles Chargers,Kansas City Chiefs,draftkings,spreads,Kansas City Chiefs/Los Angeles Chargers
Los Angeles Chargers,Kansas City Chiefs,draftkings,totals,Over/Under
Los Angeles Chargers,Kansas City Chiefs,betmgm,h2h,Kansas City Chiefs/Los Angeles Chargers
Los Angeles Chargers,Kansas City Chiefs,betmgm,spreads,Kansas City Chiefs/Los Angeles Chargers
Los Angeles Chargers,Kansas City Chiefs,betmgm,totals,Over/Under
