season,week,game_num,team,opponent,home_or_away,circa_line,open_spread_home,open_spread_away,current_spread_home,current_spread_away,circa_spread_home,circa_spread_away,team_total_dvoa_proj,opp_total_dvoa_proj,team_off_dvoa_proj,team_def_dvoa_proj,opp_off_dvoa_proj,opp_def_dvoa_proj,result,closing_line,line_value,pick_side,pick_confidence,notes,dvoa_diff_proj,power_rating,dvoa,record,ats_record,offensive_ranking,defensive_ranking,off_yards_per_play,def_yards_per_play,team_season,team_updated_at,opp_season,opp_updated_at,kickoff_local_x.1,venue_x.1,rest_days_home_x.1,rest_days_away_x.1,rest_days_diff_x.1,open_spread_home_x.1,open_spread_away_x.1,current_spread_home_x.1,current_spread_away_x.1,circa_spread_home_x.1,circa_spread_away_x.1,kickoff_local_y.1,venue_y.1,open_spread_home_y.1,open_spread_away_y.1,current_spread_home_y.1,current_spread_away_y.1,circa_spread_home_y.1,circa_spread_away_y.1,rest_days_home_y.1,rest_days_away_y.1,rest_days_diff_y.1,kickoff_local,venue,closing_spread_home,closing_spread_away,rest_days_home,rest_days_away,rest_days_diff,off_dvoa_home,off_dvoa_away,def_dvoa_home,def_dvoa_away,_kickoff_pt,_kickoff_sort_key
2025,1,1,NO,ARI,HOME,,,,5.5,-5.5,,,-0.11,0.03,-3.9,-6.8,0.3,-3.2,,,,,,,-0.14,,,,,,,,,,,,,1:00 PM,,6,6,0,,,5.5,-5.5,,,1:00 PM,,,,5.5,-5.5,,,6,6,0,1:00 PM,,,,6,6,0,-3.9,0.3,-6.8,-3.2,10:00 AM PT,4920.0
2025,1,2,JAX,CAR,HOME,,,,-2.5,2.5,,,-0.006,-0.221,-2.6,-1.8,-10.7,-12.0,,,,,,,0.215,,,,,,,,,,,,,1:00 PM,,6,6,0,,,-2.5,2.5,,,1:00 PM,,,,-2.5,2.5,,,6,6,0,1:00 PM,,,,6,6,0,-2.6,-10.7,-1.8,-12.0,10:00 AM PT,4920.0
2025,1,3,CLE,CIN,HOME,,,,8.5,-8.5,,,-0.1369999999999999,0.053,-8.4,-5.3,0.7,2.7,,,,,,,-0.1899999999999999,,,,,,,,,,,,,1:00 PM,,6,6,0,,,8.5,-8.5,,,1:00 PM,,,,8.5,-8.5,,,6,6,0,1:00 PM,,,,6,6,0,-8.4,0.7,-5.3,2.7,10:00 AM PT,4920.0
2025,1,4,NE,LV,HOME,,,,-3.0,3.0,,,-0.079,-0.0289999999999999,-8.7,1.6,8.3,-2.2,,,,,,,-0.05,,,,,,,,,,,,,1:00 PM,,6,6,0,,,-3.0,3.0,,,1:00 PM,,,,-3.0,3.0,,,6,6,0,1:00 PM,,,,6,6,0,-8.7,8.3,1.6,-2.2,10:00 AM PT,4920.0
2025,1,5,IND,MIA,HOME,,,,-1.5,1.5,,,-0.083,0.016,-2.4,-5.9,4.3,5.8,,,,,,,-0.099,,,,,,,,,,,,,1:00 PM,,6,6,0,,,-1.5,1.5,,,1:00 PM,,,,-1.5,1.5,,,6,6,0,1:00 PM,,,,6,6,0,-2.4,4.3,-5.9,5.8,10:00 AM PT,4920.0
2025,1,6,WSH,NYG,HOME,,,,0.0,0.0,,,0.159,-0.174,15.2,0.1,-3.1,-14.4,,,,,,,0.3329999999999999,,,,,,,,,,,,,1:00 PM,,6,6,0,,,0.0,0.0,,,1:00 PM,,,,0.0,0.0,,,6,6,0,1:00 PM,,,,6,6,0,15.2,-3.1,0.1,-14.4,10:00 AM PT,4920.0
2025,1,7,NYJ,PIT,HOME,,,,3.0,-3.0,,,-0.193,-0.046,-3.2,-14.0,-4.3,1.5,,,,,,,-0.147,,,,,,,,,,,,,1:00 PM,,6,6,0,,,3.0,-3.0,,,1:00 PM,,,,3.0,-3.0,,,6,6,0,1:00 PM,,,,6,6,0,-3.2,-4.3,-14.0,1.5,10:00 AM PT,4920.0
2025,1,8,ATL,TB,HOME,,,,5.5,-5.5,,,-0.043,0.038,3.8,7.4,7.4,2.2,,,,,,,-0.0809999999999999,,,,,,,,,,,,,1:00 PM,,6,6,0,,,5.5,-5.5,,,1:00 PM,,,,5.5,-5.5,,,6,6,0,1:00 PM,,,,6,6,0,3.8,7.4,7.4,2.2,10:00 AM PT,4920.0
2025,1,9,SEA,SF,HOME,,,,4.5,-4.5,,,-0.046,0.1369999999999999,3.1,-7.5,15.1,-0.3,,,,,,,-0.183,,,,,,,,,,,,,4:05 PM,,6,6,0,,,4.5,-4.5,,,4:05 PM,,,,4.5,-4.5,,,6,6,0,4:05 PM,,,,6,6,0,3.1,15.1,-7.5,-0.3,1:05 PM PT,5105.0
2025,1,10,DEN,TEN,HOME,,,,-7.5,7.5,,,0.054,-0.174,-1.3,-7.0,-4.1,-13.3,,,,,,,0.2279999999999999,,,,,,,,,,,,,4:05 PM,,6,6,0,,,-7.5,7.5,,,4:05 PM,,,,-7.5,7.5,,,6,6,0,4:05 PM,,,,6,6,0,-1.3,-4.1,-7.0,-13.3,1:05 PM PT,5105.0
2025,1,11,GB,DET,HOME,,,,2.5,-2.5,,,0.063,0.204,4.5,1.4,19.4,1.4,,,,,,,-0.141,,,,,,,,,,,,,4:25 PM,,6,6,0,,,2.5,-2.5,,,4:25 PM,,,,2.5,-2.5,,,6,6,0,4:25 PM,,,,6,6,0,4.5,19.4,1.4,1.4,1:25 PM PT,5125.0
2025,1,12,LAR,HOU,HOME,,,,-2.5,2.5,,,0.048,0.005,6.5,-1.7,-4.3,-4.5,,,,,,,0.043,,,,,,,,,,,,,4:25 PM,,6,6,0,,,-2.5,2.5,,,4:25 PM,,,,-2.5,2.5,,,6,6,0,4:25 PM,,,,6,6,0,6.5,-4.3,-1.7,-4.5,1:25 PM PT,5125.0
2025,1,13,LAC,KC,HOME,,,,4.5,-4.5,,,-0.046,0.159,0.9,5.1,11.6,-2.9,,,,,,,-0.205,,,,,,,,,,,,,8:00 PM,,6,6,0,,,4.5,-4.5,,,8:00 PM,,,,4.5,-4.5,,,6,6,0,8:00 PM,,,,6,6,0,0.9,11.6,5.1,-2.9,5:00 PM PT,2460.0
2025,1,14,CHI,MIN,HOME,,,,2.5,-2.5,,,-0.042,0.0,-2.4,-2.0,-10.7,10.7,,,,,,,-0.042,,,,,,,,,,,,,8:15 PM,,6,6,0,,,2.5,-2.5,,,8:15 PM,,,,2.5,-2.5,,,6,6,0,8:15 PM,,,,6,6,0,-2.4,-10.7,-2.0,10.7,5:15 PM PT,6795.0
2025,1,15,BUF,BAL,HOME,,,,-1.5,1.5,,,0.193,0.241,16.8,-2.9,14.9,5.1,,,,,,,-0.048,,,,,,,,,,,,,8:20 PM,,6,6,0,,,-1.5,1.5,,,8:20 PM,,,,-1.5,1.5,,,6,6,0,8:20 PM,,,,6,6,0,16.8,14.9,-2.9,5.1,5:20 PM PT,5360.0
