Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Thanksgiving,Week 13,Week 14,Week 15,Week 16,Christmas,Week 17,Week 18
ARI,Low,Low,Low,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
ATL,Medium,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
BAL,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
BUF,Low,USED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED,LOCKED,LOCKED,,LOCKED,LOCKED
CAR,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,,Low,Low,,Low,Low
CHI,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
CIN,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,TG Game,Low,Low,Low,Low,,Low,Low
CLE,Medium,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,,Low,Low,Low,Low,,Low,Low
DAL,Low,Low,Low,Low,Low,Low,Low,Low,Low,,Low,Low,TG Game,Low,Low,Low,Low,Xmas Game,Low,Low
DEN,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,Low,Low,Low,Low,Xmas Game,Low,Low
