week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
1,2025-09-07,ARI,NO,Away,1:00 PM,7,,,,Low,0.339,,,,,,,0.3112
1,2025-09-07,ATL,TB,Home,1:00 PM,7,,,,Medium,0.7041,,,,,,,0.648
1,2025-09-07,BAL,BUF,Away,8:20 PM,7,,,,Low,0.537,,,,,,,0.4683
1,2025-09-07,BUF,BAL,Home,8:20 PM,7,,,,Low,0.505,,,,,,,0.4927
1,2025-09-07,CAR,JAX,Away,1:00 PM,7,,,,Medium,0.6078,,,,,,,0.518
1,2025-09-08,CHI,MIN,Home,8:15 PM,7,,,,Medium,0.5868,,,,,,,0.5779
1,2025-09-07,CIN,CLE,Away,1:00 PM,7,,,,High,0.8039,,,,,,,0.737
1,2025-09-07,CLE,CIN,Home,1:00 PM,7,,,,Low,0.2381,,,,,,,0.3344
1,2025-09-04,DAL,PHI,Away,8:20 PM,7,,,,Low,0.3571,,,,,,,0.3522
1,2025-09-07,DEN,TEN,Home,4:05 PM,7,,,,High,0.7959,,,,,,,0.7863
1,2025-09-07,DET,GB,Away,4:25 PM,7,,,,Medium,0.6078,,,,,,,0.5084
1,2025-09-07,GB,DET,Home,4:25 PM,7,,,,Low,0.4348,,,,,,,0.42
1,2025-09-07,HOU,LAR,Away,4:25 PM,7,,,,Low,0.5726,,,,,,,0.4605
1,2025-09-07,IND,MIA,Home,1:00 PM,7,,,,Low,0.5413,,,,,,,0.4903
1,2025-09-07,JAX,CAR,Home,1:00 PM,7,,,,Low,0.4348,,,,,,,0.4296
1,2025-09-05,KC,LAC,Away,8:00 PM,7,,,,Medium,0.6855,,,,,,,0.5545
1,2025-09-05,LAC,KC,Home,8:00 PM,7,,,,Low,0.3571,,,,,,,0.3418
1,2025-09-07,LAR,HOU,Home,4:25 PM,7,,,,Low,0.4673,,,,,,,0.4262
1,2025-09-07,LV,NE,Away,1:00 PM,7,,,,Medium,0.6241,,,,,,,0.5211
1,2025-09-07,MIA,IND,Away,1:00 PM,7,,,,Low,0.505,,,,,,,0.4113
1,2025-09-08,MIN,CHI,Away,8:15 PM,7,,,,Low,0.4545,,,,,,,0.422
1,2025-09-07,NE,LV,Home,1:00 PM,7,,,,Low,0.4167,,,,,,,0.4052
1,2025-09-07,NO,ARI,Home,1:00 PM,7,,,,Medium,0.7041,,,,,,,0.6533
1,2025-09-07,NYG,WSH,Away,1:00 PM,7,,,,Low,0.3704,,,,,,,0.3638
1,2025-09-07,NYJ,PIT,Home,1:00 PM,7,,,,Low,0.4348,,,,,,,0.4345
1,2025-09-04,PHI,DAL,Home,8:20 PM,7,,,,Medium,0.6855,,,,,,,0.6649
1,2025-09-07,PIT,NYJ,Away,1:00 PM,7,,,,Medium,0.6078,,,,,,,0.5229
1,2025-09-07,SEA,SF,Home,4:05 PM,7,,,,Low,0.3571,,,,,,,0.3463
1,2025-09-07,SF,SEA,Away,4:05 PM,7,,,,Medium,0.6855,,,,,,,0.559
1,2025-09-07,TB,ATL,Away,1:00 PM,7,,,,Low,0.339,,,,,,,0.3059
1,2025-09-07,TEN,DEN,Away,4:05 PM,7,,,,Low,0.2439,,,,,,,0.2947
1,2025-09-07,WSH,NYG,Home,1:00 PM,7,,,,Medium,0.6721,,,,,,,0.6551
2,2025-09-14,ARI,CAR,Home,4:05 PM,7,,,,Medium,0.6721,,,,,,,0.6714
2,2025-09-14,ATL,MIN,Away,8:20 PM,7,,,,Medium,0.6855,,,,,,,0.5963
2,2025-09-14,BAL,CLE,Home,1:00 PM,7,,,,Low,0.2381,,,,,,,0.4018
2,2025-09-14,BUF,NYJ,Away,1:00 PM,7,,,,High,0.8039,,,,,,,0.712
2,2025-09-14,CAR,ARI,Away,4:05 PM,7,,,,Low,0.3704,,,,,,,0.3801
2,2025-09-14,CHI,DET,Away,1:00 PM,6,,,,Low,0.4878,,,,,,,0.4853
2,2025-09-14,CIN,JAX,Home,1:00 PM,7,,,,Medium,0.7041,,,,,,,0.6637
2,2025-09-14,CLE,BAL,Away,1:00 PM,7,,,,High,0.8039,,,,,,,0.8045
2,2025-09-14,DAL,NYG,Home,1:00 PM,10,,,,Low,0.495,,,,,,,0.4682
2,2025-09-14,DEN,IND,Away,4:05 PM,7,,,,Low,0.3937,,,,,,,0.3628
2,2025-09-14,DET,CHI,Home,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.5896
2,2025-09-11,GB,WSH,Home,8:15 PM,4,,,,Medium,0.5868,,,,,,,0.5469
2,2025-09-15,HOU,TB,Home,7:00 PM,8,,,,Medium,0.5556,,,,,,,0.5045
2,2025-09-14,IND,DEN,Home,4:05 PM,7,,,,Medium,0.6491,,,,,,,0.6171
2,2025-09-14,JAX,CIN,Away,1:00 PM,7,,,,Low,0.339,,,,,,,0.3216
2,2025-09-14,KC,PHI,Home,4:25 PM,9,,,,Low,0.5192,,,,,,,0.4803
2,2025-09-15,LAC,LV,Away,10:00 PM,10,,,,Low,0.303,,,,,,,0.3075
2,2025-09-14,LAR,TEN,Away,1:00 PM,7,,,,Low,0.3448,,,,,,,0.3535
2,2025-09-15,LV,LAC,Home,10:00 PM,8,,,,High,0.7403,,,,,,,0.7074
2,2025-09-14,MIA,NE,Home,1:00 PM,7,,,,Medium,0.5745,,,,,,,0.5506
2,2025-09-14,MIN,ATL,Home,8:20 PM,6,,,,Low,0.3571,,,,,,,0.3835
2,2025-09-14,NE,MIA,Away,1:00 PM,7,,,,Low,0.4673,,,,,,,0.4148
2,2025-09-14,NO,SF,Home,1:00 PM,7,,,,Low,0.2778,,,,,,,0.3081
2,2025-09-14,NYG,DAL,Away,1:00 PM,7,,,,Low,0.5495,,,,,,,0.4618
2,2025-09-14,NYJ,BUF,Home,1:00 PM,7,,,,Low,0.2381,,,,,,,0.3093
2,2025-09-14,PHI,KC,Away,4:25 PM,10,,,,Low,0.5192,,,,,,,0.4303
2,2025-09-14,PIT,SEA,Home,1:00 PM,7,,,,Medium,0.5745,,,,,,,0.5194
2,2025-09-14,SEA,PIT,Away,1:00 PM,7,,,,Low,0.4673,,,,,,,0.3837
2,2025-09-14,SF,NO,Away,1:00 PM,7,,,,Medium,0.7647,,,,,,,0.6477
2,2025-09-15,TB,HOU,Away,7:00 PM,8,,,,Low,0.4878,,,,,,,0.4003
2,2025-09-14,TEN,LAR,Home,1:00 PM,7,,,,Medium,0.697,,,,,,,0.6853
2,2025-09-11,WSH,GB,Away,8:15 PM,4,,,,Low,0.4545,,,,,,,0.3911
3,2025-09-21,ARI,SF,Away,4:25 PM,7,,,,Low,0.4878,,,,,,,0.3964
3,2025-09-21,ATL,CAR,Away,1:00 PM,7,,,,Medium,0.6241,,,,,,,0.5515
3,2025-09-22,BAL,DET,Home,8:15 PM,8,,,,Medium,0.6575,,,,,,,0.5909
3,2025-09-18,BUF,MIA,Home,8:15 PM,4,,,,Low,0.3333,,,,,,,0.3823
3,2025-09-21,CAR,ATL,Home,1:00 PM,7,,,,Low,0.4167,,,,,,,0.4355
3,2025-09-21,CHI,DAL,Home,4:25 PM,7,,,,Medium,0.6241,,,,,,,0.5534
3,2025-09-21,CIN,MIN,Away,1:00 PM,7,,,,Low,0.5556,,,,,,,0.4643
3,2025-09-21,CLE,GB,Home,1:00 PM,7,,,,Low,0.3175,,,,,,,0.4322
3,2025-09-21,DAL,CHI,Away,4:25 PM,7,,,,Low,0.4167,,,,,,,0.3375
3,2025-09-21,DEN,LAC,Away,4:05 PM,7,,,,Low,0.5745,,,,,,,0.4689
3,2025-09-22,DET,BAL,Away,8:15 PM,8,,,,Low,0.3846,,,,,,,0.3226
3,2025-09-21,GB,CLE,Away,1:00 PM,10,,,,High,0.726,,,,,,,0.709
3,2025-09-21,HOU,JAX,Away,1:00 PM,6,,,,Medium,0.6491,,,,,,,0.5664
3,2025-09-21,IND,TEN,Away,1:00 PM,7,,,,Medium,0.6491,,,,,,,0.573
3,2025-09-21,JAX,HOU,Home,1:00 PM,7,,,,Low,0.3937,,,,,,,0.412
3,2025-09-21,KC,NYG,Away,8:20 PM,7,,,,Low,0.303,,,,,,,0.3161
3,2025-09-21,LAC,DEN,Home,4:05 PM,6,,,,Low,0.4673,,,,,,,0.4331
3,2025-09-21,LAR,PHI,Away,1:00 PM,7,,,,Medium,0.6855,,,,,,,0.5822
3,2025-09-21,LV,WSH,Away,1:00 PM,6,,,,Medium,0.7802,,,,,,,0.6871
