week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
1,2025-09-07,ARI,NO,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,ARI,CAR,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,ARI,SF,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-25,ARI,SEA,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,ARI,TEN,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,ARI,IND,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,ARI,GB,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
8,,ARI,BYE,Home,,0,False,False,False,,,,,False,False,False,,
9,2025-11-03,ARI,DAL,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,ARI,SEA,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,ARI,SF,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,ARI,JAX,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,ARI,TB,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,ARI,LAR,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,ARI,HOU,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,ARI,ATL,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,ARI,CIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,ARI,LAR,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,ATL,TB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,ATL,MIN,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,ATL,CAR,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,ATL,WSH,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,,ATL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,2025-10-13,ATL,BUF,Home,7:15 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,ATL,SF,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,ATL,MIA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,ATL,NE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,ATL,IND,Away,9:30 AM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,ATL,CAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,ATL,NO,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,ATL,NYJ,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,ATL,SEA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-11,ATL,TB,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,ATL,ARI,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-29,ATL,LAR,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,ATL,NO,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,BAL,BUF,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,BAL,CLE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-22,BAL,DET,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,BAL,KC,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,BAL,HOU,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,BAL,LAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,,BAL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,BAL,CHI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-10-30,BAL,MIA,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,BAL,MIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,BAL,CLE,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,BAL,NYJ,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27,BAL,CIN,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,BAL,PIT,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,BAL,CIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,BAL,NE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,BAL,GB,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,BAL,PIT,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,BUF,BAL,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,BUF,NYJ,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-18,BUF,MIA,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,BUF,NO,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,BUF,NE,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-13,BUF,ATL,Away,7:15 PM,0,False,False,False,,,,,False,False,False,,
7,,BUF,BYE,Home,,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,BUF,CAR,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,BUF,KC,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,BUF,MIA,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,BUF,TB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-20,BUF,HOU,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,BUF,PIT,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,BUF,CIN,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,BUF,NE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,BUF,CLE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,BUF,PHI,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,BUF,NYJ,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,CAR,JAX,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,CAR,ARI,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,CAR,ATL,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,CAR,NE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,CAR,MIA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,CAR,DAL,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,CAR,NYJ,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
