week,date,time,team,opponent,home_or_away,holiday_flag,rest_days,reserved,is_locked_out,expected_avail,preferred,must_use,save_for_later,notes_future,notes,spot_quality,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,spot_value,spot_value_score,moneyline,spread,implied_wp,power_rating,opp_power_rating,power_gap,injury_adjustment,rest_diff,travel_miles,rating_gap,future_scarcity_bonus
1,09/04/2025,20:20:00,PHI,DAL,Home,,7,False,False,True,False,False,False,,,,0.62,12.0,8.5,3.5,,,,,,,,,-0.02,,,2.0,0.0
1,09/05/2025,20:00:00,LAC,KC,Home,,7,False,False,True,False,False,False,,,,0.41,4.0,16.5,-12.5,,,,,,,,,-0.03,,,-6.0,0.02
1,09/07/2025,13:00:00,ATL,TB,Home,,7,False,False,True,False,False,False,,,,0.55,-3.0,-1.0,-2.0,,,,,,,,,0.0,,,1.5,0.01
1,09/07/2025,13:00:00,CLE,CIN,Home,,7,False,False,True,False,False,False,,,,0.53,5.0,6.0,-1.0,,,,,,,,,0.01,,,0.5,0.0
1,2025-09-07 00:00:00,1:00 PM,IND,MIA,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,1:00 PM,JAX,CAR,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,1:00 PM,NO,ARI,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,1:00 PM,NE,LV,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,1:00 PM,NYJ,PIT,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,1:00 PM,WSH,NYG,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,4:05 PM,DEN,TEN,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,4:05 PM,SEA,SF,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,4:25 PM,GB,DET,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,4:25 PM,LAR,HOU,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-07 00:00:00,8:20 PM,BUF,BAL,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
1,2025-09-08 00:00:00,8:15 PM,CHI,MIN,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-11 00:00:00,8:15 PM,GB,WSH,Home,,4,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,CIN,JAX,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,DAL,NYG,Home,,9,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,DET,CHI,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,MIA,NE,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,NO,SF,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,NYJ,BUF,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,TEN,LAR,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,PIT,SEA,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,1:00 PM,BAL,CLE,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,4:05 PM,IND,DEN,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,4:05 PM,ARI,CAR,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,4:25 PM,KC,PHI,Home,,8,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-14 00:00:00,8:20 PM,MIN,ATL,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-15 00:00:00,7:00 PM,HOU,TB,Home,,8,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
2,2025-09-15 00:00:00,10:00 PM,LV,LAC,Home,,8,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-18 00:00:00,8:15 PM,BUF,MIA,Home,,4,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,CAR,ATL,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,CLE,GB,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,JAX,HOU,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,MIN,CIN,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,NE,PIT,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,TEN,IND,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,PHI,LAR,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,TB,NYJ,Home,,5,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,1:00 PM,WSH,LV,Home,,9,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,4:05 PM,LAC,DEN,Home,,5,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,4:05 PM,SEA,NO,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,4:25 PM,CHI,DAL,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,4:25 PM,SF,ARI,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-21 00:00:00,8:20 PM,NYG,KC,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
3,2025-09-22 00:00:00,8:15 PM,BAL,DET,Home,,8,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-25 00:00:00,8:15 PM,ARI,SEA,Home,,4,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,9:30 AM,PIT,MIN,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,ATL,WSH,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,BUF,NO,Home,,9,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,DET,CLE,Home,,5,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,HOU,TEN,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,NE,CAR,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,NYG,LAC,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,1:00 PM,TB,PHI,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,4:05 PM,LAR,IND,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,4:05 PM,SF,JAX,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,4:25 PM,KC,BAL,Home,,6,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
4,2025-09-28 00:00:00,4:25 PM,LV,CHI,Home,,7,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,
