week,date,time,team,opponent,home_or_away,holiday_flag,rest_days,reserved,is_locked_out,expected_avail,preferred,must_use,save_for_later,notes_future,notes,spot_quality,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,spot_value,spot_value_score,moneyline,spread,implied_wp,power_rating,opp_power_rating,power_gap,rest_diff,travel_miles,rating_gap,injury_adjustment,future_scarcity_bonus,team_total_dvoa,opp_total_dvoa,sv_win,sv_home,sv_rest,sv_rating,sv_dvoa,sv_injury,sv_holiday,max_future_prob,future_depth_ge55,opportunity_delta,OD_norm,FD_norm,future_scarcity_boost_raw,future_scarcity_boost,sv_scarcity
1,2025-09-07 00:00:00,1:00 PM,ARI,NO,Away,,7,False,False,True,False,False,False,,,,0.6892525512549417,,,,Low,,-238.0,,0.6892525512549417,,,,,,,0.0,,,,0.5661855290980969,0.0,0.05,,0.0,0.0,0.0,0.6750312469954812,4,0.014221304259460443,0.4284426085189209,0.0,0.12,0.1,0.1
2,2025-09-14 00:00:00,4:05 PM,ARI,CAR,Home,,7,False,False,True,False,False,False,,,,0.6574752261956054,,,,Low,,-218.0,,0.6574752261956054,,,,,,,0.0,,,,0.519963965375426,0.1,0.05,,0.0,0.0,0.0,0.6750312469954812,3,-0.017556020799875838,0.36488795840024835,0.0,0.12,0.1,0.1
3,2025-09-21 00:00:00,4:25 PM,ARI,SF,Away,,7,False,False,True,False,False,False,,,,0.5,,,,Low,,,,,,,,,,,0.0,,,,0.29090909090909095,0.0,0.05,,0.0,0.0,0.0,0.6750312469954812,3,-0.17503124699548123,0.04993750600903757,0.0,0.02996250360542254,0.024968753004518784,0.024968753004518784
4,2025-09-25 00:00:00,8:15 PM,ARI,SEA,Home,,4,False,False,True,False,False,False,,,,0.4739134147382802,,,,Low,,102.0,,0.4739134147382802,,,,,,,0.0,,,,0.2529649668920439,0.1,0.0,,0.0,0.0,0.0,0.6750312469954812,3,-0.20111783225720103,0.0,0.0,0.0,0.0,0.0
5,2025-10-05 00:00:00,4:05 PM,ARI,TEN,Home,,9,False,False,True,False,False,False,,,,0.6750312469954812,,,,Low,,-238.0,,0.6750312469954812,,,,,,,0.0,,,,0.5454999956297909,0.1,0.08333333333333334,,0.0,0.0,0.0,0.6224665518611737,2,0.052564695134307504,0.505129390268615,0.33333333333333337,0.12,0.1,0.1
6,2025-10-12 00:00:00,1:00 PM,ARI,IND,Away,,6,False,False,True,False,False,False,,,,0.5324675324675325,,,,Low,,-125.0,,0.5324675324675325,,,,,,,0.0,,,,0.33813459268004736,0.0,0.03333333333333333,,0.0,0.0,0.0,0.6224665518611737,2,-0.08999901939364119,0.22000196121271764,0.33333333333333337,0.12,0.1,0.1
7,2025-10-19 00:00:00,4:25 PM,ARI,GB,Home,,7,False,False,True,False,False,False,,,,0.4739134147382802,,,,Low,,102.0,,0.4739134147382802,,,,,,,0.0,,,,0.2529649668920439,0.1,0.05,,0.0,0.0,0.0,0.6224665518611737,2,-0.14855313712289353,0.10289372575421296,0.33333333333333337,0.12,0.1,0.1
9,2025-11-03 00:00:00,8:15 PM,ARI,DAL,Away,,14,False,False,True,False,False,False,,,,0.4675324675324675,,,,Low,,105.0,,0.4675324675324675,,,,,,,0.0,,,,0.2436835891381346,0.0,0.1,,0.0,0.0,0.0,0.6224665518611737,2,-0.1549340843287062,0.09013183134258762,0.33333333333333337,0.12,0.1,0.1
10,2025-11-09 00:00:00,4:05 PM,ARI,SEA,Away,,5,False,False,True,False,False,False,,,,0.5,,,,Low,,,,,,,,,,,0.0,,,,0.29090909090909095,0.0,0.016666666666666666,,0.0,0.0,0.0,0.6224665518611737,2,-0.12246655186117372,0.15506689627765258,0.33333333333333337,0.12,0.1,0.1
11,2025-11-16 00:00:00,4:05 PM,ARI,SF,Home,,7,False,False,True,False,False,False,,,,0.4675324675324675,,,,Low,,105.0,,0.4675324675324675,,,,,,,0.0,,,,0.2436835891381346,0.1,0.05,,0.0,0.0,0.0,0.6224665518611737,2,-0.1549340843287062,0.09013183134258762,0.33333333333333337,0.12,0.1,0.1
12,2025-11-23 00:00:00,4:05 PM,ARI,JAX,Home,,7,False,False,True,False,False,False,,,,0.593369754159424,,,,Low,,-162.0,,0.593369754159424,,,,,,,0.0,,,,0.4267196424137075,0.1,0.05,,0.0,0.0,0.0,0.6224665518611737,1,-0.029096797701749777,0.34180640459650047,0.6666666666666667,0.12,0.1,0.1
13,2025-11-30 00:00:00,1:00 PM,ARI,TB,Away,,6,False,False,True,False,False,False,,,,0.3775334481388264,,,,Low,,154.0,,0.3775334481388264,,,,,,,0.0,,,,0.11277592456556568,0.0,0.03333333333333333,,0.0,0.0,0.0,0.6224665518611737,1,-0.24493310372234733,0.0,0.6666666666666667,0.12,0.1,0.1
14,2025-12-07 00:00:00,4:25 PM,ARI,LAR,Home,,7,False,False,True,False,False,False,,,,0.3363518758085381,,,,Low,,185.0,,0.3363518758085381,,,,,,,0.0,,,,0.05287545572150997,0.1,0.05,,0.0,0.0,0.0,0.6224665518611737,1,-0.28611467605263563,0.0,0.6666666666666667,0.12,0.1,0.1
15,2025-12-14 00:00:00,1:00 PM,ARI,HOU,Away,,6,False,False,True,False,False,False,,,,0.448558885283451,,,,Low,,114.0,,0.448558885283451,,,,,,,0.0,,,,0.21608565132138327,0.0,0.03333333333333333,,0.0,0.0,0.0,0.6224665518611737,1,-0.17390766657772272,0.052184666844554584,0.6666666666666667,0.12,0.1,0.1
16,2025-12-21 00:00:00,4:05 PM,ARI,ATL,Home,,7,False,False,True,False,False,False,,,,0.6224665518611737,,,,Low,,-185.0,,0.6224665518611737,,,,,,,0.0,,,,0.46904225725261633,0.1,0.05,,0.0,0.0,0.0,0.5,0,0.12246655186117372,0.6449331037223475,1.0,0.12,0.1,0.1
17,2025-12-28 00:00:00,1:00 PM,ARI,CIN,Away,,6,False,False,True,False,False,False,,,,0.3775334481388264,,,,Low,,154.0,,0.3775334481388264,,,,,,,0.0,,,,0.11277592456556568,0.0,0.03333333333333333,,0.0,0.0,0.0,0.5,0,-0.12246655186117361,0.1550668962776528,1.0,0.12,0.1,0.1
18,2026-01-04 00:00:00,1:00 PM,ARI,LAR,Away,,7,False,False,True,False,False,False,,,,0.5,,,,Low,,,,,,,,,,,0.0,,,,0.29090909090909095,0.0,0.05,,0.0,0.0,0.0,0.0,0,0.5,1.0,1.0,0.12,0.1,0.1
1,09/07/2025,13:00:00,ATL,TB,Home,,7,False,False,True,False,False,False,,,,0.55,-3.0,-1.0,-2.0,Medium,0.630175302573282,195.0,,0.3249687530045188,,,,,,1.5,0.0,0.01,,,0.3636363636363637,0.1,0.05,0.024491866240370915,-0.007952927303452702,0.0,0.0,0.6636481241914618,2,-0.11364812419146175,0.17270375161707652,0.33333333333333337,0.12,0.1,0.1
2,2025-09-14 00:00:00,8:20 PM,ATL,MIN,Away,,7,False,False,True,False,False,False,,,,0.3363518758085381,,,,Low,,185.0,,0.3363518758085381,,,,,,,0.0,,,,0.05287545572150997,0.0,0.05,,0.0,0.0,0.0,0.6636481241914618,2,-0.3272962483829237,0.0,0.33333333333333337,0.12,0.1,0.1
3,2025-09-21 00:00:00,1:00 PM,ATL,CAR,Away,,6,False,False,True,False,False,False,,,,0.5,,,,Low,,,,,,,,,,,0.0,,,,0.29090909090909095,0.0,0.03333333333333333,,0.0,0.0,0.0,0.6636481241914618,2,-0.1636481241914618,0.07270375161707643,0.33333333333333337,0.12,0.1,0.1
4,2025-09-28 00:00:00,1:00 PM,ATL,WSH,Home,,7,False,False,True,False,False,False,,,,0.5,,,,Low,,,,,,,,,,,0.0,,,,0.29090909090909095,0.1,0.05,,0.0,0.0,0.0,0.6636481241914618,2,-0.1636481241914618,0.07270375161707643,0.33333333333333337,0.12,0.1,0.1
6,2025-10-13 00:00:00,7:15 PM,ATL,BUF,Home,,14,False,False,True,False,False,False,,,,0.3249687530045188,,,,Low,,195.0,,0.3249687530045188,,,,,,,0.0,,,,0.03631818618839096,0.1,0.1,,0.0,0.0,0.0,0.6636481241914618,2,-0.338679371186943,0.0,0.33333333333333337,0.12,0.1,0.1
7,2025-10-19 00:00:00,8:20 PM,ATL,SF,Away,,6,False,False,True,False,False,False,,,,0.2904564315352697,,,,Low,,230.0,,0.2904564315352697,,,,,,,0.0,,,,0.0,0.0,0.03333333333333333,,0.0,0.0,0.0,0.6636481241914618,2,-0.3731916926561921,0.0,0.33333333333333337,0.12,0.1,0.1
