week,date,time,team,opponent,home_or_away,holiday_flag
1,2025-09-04 00:00:00,8:20 PM,PHI,DAL,Home,
1,2025-09-05 00:00:00,8:00 PM,LAC,KC,Home,
1,2025-09-07 00:00:00,1:00 PM,ATL,TB,Home,
1,2025-09-07 00:00:00,1:00 PM,CLE,CIN,Home,
1,2025-09-07 00:00:00,1:00 PM,IND,MIA,Home,
1,2025-09-07 00:00:00,1:00 PM,JAX,CAR,Home,
1,2025-09-07 00:00:00,1:00 PM,NO,ARI,Home,
1,2025-09-07 00:00:00,1:00 PM,NE,LV,Home,
1,2025-09-07 00:00:00,1:00 PM,NYJ,PIT,Home,
1,2025-09-07 00:00:00,1:00 PM,WSH,NYG,Home,
1,2025-09-07 00:00:00,4:05 PM,DEN,TEN,Home,
1,2025-09-07 00:00:00,4:05 PM,SEA,SF,Home,
1,2025-09-07 00:00:00,4:25 PM,GB,DET,Home,
1,2025-09-07 00:00:00,4:25 PM,LAR,HOU,Home,
1,2025-09-07 00:00:00,8:20 PM,BUF,BAL,Home,
1,2025-09-08 00:00:00,8:15 PM,CHI,MIN,Home,
2,2025-09-11 00:00:00,8:15 PM,GB,WSH,Home,
2,2025-09-14 00:00:00,1:00 PM,CIN,JAX,Home,
2,2025-09-14 00:00:00,1:00 PM,DAL,NYG,Home,
2,2025-09-14 00:00:00,1:00 PM,DET,CHI,Home,
2,2025-09-14 00:00:00,1:00 PM,MIA,NE,Home,
2,2025-09-14 00:00:00,1:00 PM,NO,SF,Home,
2,2025-09-14 00:00:00,1:00 PM,NYJ,BUF,Home,
2,2025-09-14 00:00:00,1:00 PM,TEN,LAR,Home,
2,2025-09-14 00:00:00,1:00 PM,PIT,SEA,Home,
2,2025-09-14 00:00:00,1:00 PM,BAL,CLE,Home,
2,2025-09-14 00:00:00,4:05 PM,IND,DEN,Home,
2,2025-09-14 00:00:00,4:05 PM,ARI,CAR,Home,
2,2025-09-14 00:00:00,4:25 PM,KC,PHI,Home,
2,2025-09-14 00:00:00,8:20 PM,MIN,ATL,Home,
2,2025-09-15 00:00:00,7:00 PM,HOU,TB,Home,
2,2025-09-15 00:00:00,10:00 PM,LV,LAC,Home,
3,2025-09-18 00:00:00,8:15 PM,BUF,MIA,Home,
3,2025-09-21 00:00:00,1:00 PM,CAR,ATL,Home,
3,2025-09-21 00:00:00,1:00 PM,CLE,GB,Home,
