week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,holiday_flag,spot_value_score,scarcity_boost
1,ARI,NO,Away,,,,,,,,,,,,,,
2,ARI,CAR,Home,,,,,,,,,,,,,,
3,ARI,SF,Away,,,,,,,,,,,,,,
4,ARI,SEA,Home,,,,,,,,,,,,,,
5,ARI,TEN,Home,,,,,,,,,,,,,,
6,ARI,IND,Away,,,,,,,,,,,,,,
7,ARI,GB,Home,,,,,,,,,,,,,,
8,ARI,BYE,Home,,,,,,,,,,,,,,
9,ARI,DAL,Away,,,,,,,,,,,,,,
10,ARI,SEA,Away,,,,,,,,,,,,,,
11,ARI,SF,Home,,,,,,,,,,,,,,
12,ARI,JAX,Home,,,,,,,,,,,,,,
13,ARI,TB,Away,,,,,,,,,,,,,,
14,ARI,LAR,Home,,,,,,,,,,,,,,
15,ARI,HOU,Away,,,,,,,,,,,,,,
16,ARI,ATL,Home,,,,,,,,,,,,,,
17,ARI,CIN,Away,,,,,,,,,,,,,,
18,ARI,LAR,Away,,,,,,,,,,,,,,
1,ATL,TB,Home,,,,,,,,,,,,,,
2,ATL,MIN,Away,,,,,,,,,,,,,,
3,ATL,CAR,Away,,,,,,,,,,,,,,
4,ATL,WSH,Home,,,,,,,,,,,,,,
5,ATL,BYE,Home,,,,,,,,,,,,,,
6,ATL,BUF,Home,,,,,,,,,,,,,,
7,ATL,SF,Away,,,,,,,,,,,,,,
8,ATL,MIA,Home,,,,,,,,,,,,,,
9,ATL,NE,Away,,,,,,,,,,,,,,
10,ATL,IND,Away,,,,,,,,,,,,,,
11,ATL,CAR,Home,,,,,,,,,,,,,,
12,ATL,NO,Away,,,,,,,,,,,,,,
13,ATL,NYJ,Away,,,,,,,,,,,,,,
14,ATL,SEA,Home,,,,,,,,,,,,,,
15,ATL,TB,Away,,,,,,,,,,,,,,
16,ATL,ARI,Away,,,,,,,,,,,,,,
17,ATL,LAR,Home,,,,,,,,,,,,,,
18,ATL,NO,Home,,,,,,,,,,,,,,
1,BAL,BUF,Away,,,,,,,,,,,,,,
2,BAL,CLE,Home,,,,,,,,,,,,,,
3,BAL,DET,Home,,,,,,,,,,,,,,
4,BAL,KC,Away,,,,,,,,,,,,,,
5,BAL,HOU,Home,,,,,,,,,,,,,,
6,BAL,LAR,Home,,,,,,,,,,,,,,
7,BAL,BYE,Home,,,,,,,,,,,,,,
8,BAL,CHI,Home,,,,,,,,,,,,,,
