week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,holiday_flag,spot_value_score,scarcity_boost,team_tot_dvoa,opp_tot_dvoa,dvoa_gap
1,ARI,NO,Away,,,,,,,,,,,,,,,8.8,-10.6,19.4
2,ARI,CAR,Home,,,,,,,,,,,,,,,8.8,-32.9,41.7
3,ARI,SF,Away,,,,,,,,,,,,,,,8.8,6.7,2.1000000000000005
4,ARI,SEA,Home,,,,,,,,,,,,,,,8.8,2.3,6.500000000000001
5,ARI,TEN,Home,,,,,,,,,,,,,,,8.8,-33.5,42.3
6,ARI,IND,Away,,,,,,,,,,,,,,,8.8,-7.1,15.9
7,ARI,GB,Home,,,,,,,,,,,,,,,8.8,24.5,-15.7
8,ARI,BYE,Home,,,,,,,,,,,,,,,8.8,,8.8
9,ARI,DAL,Away,,,,,,,,,,,,,,,8.8,-11.6,20.4
10,ARI,SEA,Away,,,,,,,,,,,,,,,8.8,2.3,6.500000000000001
11,ARI,SF,Home,,,,,,,,,,,,,,,8.8,6.7,2.1000000000000005
12,ARI,JAX,Home,,,,,,,,,,,,,,,8.8,-17.7,26.5
13,ARI,TB,Away,,,,,,,,,,,,,,,8.8,9.4,-0.5999999999999996
14,ARI,LAR,Home,,,,,,,,,,,,,,,8.8,5.1,3.700000000000001
15,ARI,HOU,Away,,,,,,,,,,,,,,,8.8,5.3,3.500000000000001
16,ARI,ATL,Home,,,,,,,,,,,,,,,8.8,-7.3,16.1
17,ARI,CIN,Away,,,,,,,,,,,,,,,8.8,7.0,1.8000000000000007
18,ARI,LAR,Away,,,,,,,,,,,,,,,8.8,5.1,3.700000000000001
1,ATL,TB,Home,,,,,,,,,,,,,,,-7.3,9.4,-16.7
2,ATL,MIN,Away,,,,,,,,,,,,,,,-7.3,16.1,-23.4
3,ATL,CAR,Away,,,,,,,,,,,,,,,-7.3,-32.9,25.6
4,ATL,WSH,Home,,,,,,,,,,,,,,,-7.3,,-7.3
5,ATL,BYE,Home,,,,,,,,,,,,,,,-7.3,,-7.3
6,ATL,BUF,Home,,,,,,,,,,,,,,,-7.3,22.7,-30.0
7,ATL,SF,Away,,,,,,,,,,,,,,,-7.3,6.7,-14.0
8,ATL,MIA,Home,,,,,,,,,,,,,,,-7.3,-9.8,2.500000000000001
9,ATL,NE,Away,,,,,,,,,,,,,,,-7.3,-29.7,22.4
10,ATL,IND,Away,,,,,,,,,,,,,,,-7.3,-7.1,-0.2000000000000001
11,ATL,CAR,Home,,,,,,,,,,,,,,,-7.3,-32.9,25.6
12,ATL,NO,Away,,,,,,,,,,,,,,,-7.3,-10.6,3.3
13,ATL,NYJ,Away,,,,,,,,,,,,,,,-7.3,-11.4,4.1000000000000005
14,ATL,SEA,Home,,,,,,,,,,,,,,,-7.3,2.3,-9.6
15,ATL,TB,Away,,,,,,,,,,,,,,,-7.3,9.4,-16.7
16,ATL,ARI,Away,,,,,,,,,,,,,,,-7.3,8.8,-16.1
17,ATL,LAR,Home,,,,,,,,,,,,,,,-7.3,5.1,-12.4
18,ATL,NO,Home,,,,,,,,,,,,,,,-7.3,-10.6,3.3
1,BAL,BUF,Away,,,,,,,,,,,,,,,41.4,22.7,18.7
2,BAL,CLE,Home,,,,,,,,,,,,,,,41.4,-39.9,81.3
3,BAL,DET,Home,,,,,,,,,,,,,,,41.4,34.8,6.600000000000001
4,BAL,KC,Away,,,,,,,,,,,,,,,41.4,14.7,26.7
5,BAL,HOU,Home,,,,,,,,,,,,,,,41.4,5.3,36.1
6,BAL,LAR,Home,,,,,,,,,,,,,,,41.4,5.1,36.3
7,BAL,BYE,Home,,,,,,,,,,,,,,,41.4,,41.4
8,BAL,CHI,Home,,,,,,,,,,,,,,,41.4,-12.7,54.1
9,BAL,MIA,Away,,,,,,,,,,,,,,,41.4,-9.8,51.2
10,BAL,MIN,Away,,,,,,,,,,,,,,,41.4,16.1,25.3
11,BAL,CLE,Away,,,,,,,,,,,,,,,41.4,-39.9,81.3
12,BAL,NYJ,Home,,,,,,,,,,,,,,,41.4,-11.4,52.8
13,BAL,CIN,Home,,,,,,,,,,,,Thanksgiving,,,41.4,7.0,34.4
14,BAL,PIT,Home,,,,,,,,,,,,,,,41.4,6.3,35.1
