week,team,opponent,home_or_away
1,ARI,NO,Away
1,ATL,TB,Home
1,BAL,BUF,Away
1,BUF,BAL,Home
1,CAR,JAX,Away
1,CHI,MIN,Home
1,CIN,CLE,Away
1,CLE,CIN,Home
1,DAL,PHI,Away
1,DEN,TEN,Home
1,DET,GB,Away
1,GB,DET,Home
1,HOU,LAR,Away
1,IND,MIA,Home
1,JAX,CAR,Home
1,KC,LAC,Away
1,LAC,KC,Home
1,LAR,HOU,Home
1,LV,NE,Away
1,MIA,IND,Away
1,MIN,CHI,Away
1,NE,LV,Home
1,NO,ARI,Home
1,NYG,WSH,Away
1,NYJ,PIT,Home
1,PHI,DAL,Home
1,PIT,NYJ,Away
1,SEA,SF,Home
1,SF,SEA,Away
1,TB,ATL,Away
1,TEAM,1,Home
1,TEN,DEN,Away
1,WSH,NYG,Home
2,ARI,CAR,Home
2,ATL,MIN,Away
2,BAL,CLE,Home
2,BUF,NYJ,Away
2,CAR,ARI,Away
2,CHI,DET,Away
2,CIN,JAX,Home
2,CLE,BAL,Away
2,DAL,NYG,Home
2,DEN,IND,Away
2,DET,CHI,Home
2,GB,WSH,Home
2,HOU,TB,Home
2,IND,DEN,Home
2,JAX,CIN,Away
2,KC,PHI,Home
2,LAC,LV,Away
2,LAR,TEN,Away
2,LV,LAC,Home
2,MIA,NE,Home
2,MIN,ATL,Home
2,NE,MIA,Away
2,NO,SF,Home
2,NYG,DAL,Away
2,NYJ,BUF,Home
2,PHI,KC,Away
2,PIT,SEA,Home
2,SEA,PIT,Away
2,SF,NO,Away
2,TB,HOU,Away
2,TEAM,2,Home
2,TEN,LAR,Home
2,WSH,GB,Away
3,ARI,SF,Away
3,ATL,CAR,Away
3,BAL,DET,Home
3,BUF,MIA,Home
3,CAR,ATL,Home
3,CHI,DAL,Home
3,CIN,MIN,Away
3,CLE,GB,Home
3,DAL,CHI,Away
3,DEN,LAC,Away
3,DET,BAL,Away
3,GB,CLE,Away
3,HOU,JAX,Away
3,IND,TEN,Away
3,JAX,HOU,Home
3,KC,NYG,Away
3,LAC,DEN,Home
3,LAR,PHI,Away
3,LV,WSH,Away
3,MIA,BUF,Away
3,MIN,CIN,Home
3,NE,PIT,Home
3,NO,SEA,Away
3,NYG,KC,Home
3,NYJ,TB,Away
3,PHI,LAR,Home
3,PIT,NE,Away
3,SEA,NO,Home
3,SF,ARI,Home
3,TB,NYJ,Home
3,TEAM,3,Home
3,TEN,IND,Home
3,WSH,LV,Home
4,ARI,SEA,Home
4,ATL,WSH,Home
4,BAL,KC,Away
4,BUF,NO,Home
4,CAR,NE,Away
4,CHI,LV,Away
4,CIN,DEN,Away
4,CLE,DET,Away
4,DAL,GB,Home
4,DEN,CIN,Home
4,DET,CLE,Home
4,GB,DAL,Away
4,HOU,TEN,Home
4,IND,LAR,Away
4,JAX,SF,Away
4,KC,BAL,Home
4,LAC,NYG,Away
4,LAR,IND,Home
4,LV,CHI,Home
4,MIA,NYJ,Home
4,MIN,PIT,Away
4,NE,CAR,Home
4,NO,BUF,Away
4,NYG,LAC,Home
4,NYJ,MIA,Away
4,PHI,TB,Away
4,PIT,MIN,Home
4,SEA,ARI,Away
4,SF,JAX,Home
4,TB,PHI,Home
4,TEAM,4,Home
4,TEN,HOU,Away
4,WSH,ATL,Away
5,ARI,TEN,Home
5,ATL,BYE,Home
5,BAL,HOU,Home
5,BUF,NE,Home
5,CAR,MIA,Home
5,CHI,BYE,Home
5,CIN,DET,Home
5,CLE,MIN,Home
5,DAL,NYJ,Away
5,DEN,PHI,Away
5,DET,CIN,Away
5,GB,BYE,Home
5,HOU,BAL,Away
5,IND,LV,Home
