week,team,opponent,home_or_away_sch,date_sch,time_sch,vistm,hometm,date,time,home_or_away,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,rating_gap,injury_adjustment,future_scarcity_bonus,moneyline,opp_moneyline,implied_wp,spread,consensus_spread,circa_spread,circa_spread_price,is_thanksgiving,is_black_friday,is_christmas,plays_both_tg_xmas,team_dvoa,opp_dvoa,team_off_dvoa,opp_off_dvoa,team_def_dvoa,opp_def_dvoa,rest_days,reserved,expected_avail,preferred,must_use,save_for_later,notes,spot_quality,team_total_dvoa,opp_total_dvoa
1,IND,MIA,Home,2025-09-07 00:00:00,1:00 PM,MIA,IND,,,Home,0.5089094796863863,,,,,,,-112.0,-104.0,0.5089094796863863,-1.5,-1.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,JAX,CAR,Home,2025-09-07 00:00:00,1:00 PM,CAR,JAX,,,Home,0.5863427445830597,,,,,,,-152.0,135.0,0.5863427445830597,-2.5,-2.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,NO,ARI,Home,2025-09-07 00:00:00,1:00 PM,ARI,NO,,,Home,0.3107474487450583,,,,,,,215.0,-238.0,0.3107474487450583,5.5,5.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,NE,LV,Home,2025-09-07 00:00:00,1:00 PM,LV,NE,,,Home,0.5946894746920278,,,,,,,-154.0,142.0,0.5946894746920278,-3.0,-3.0,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,NYJ,PIT,Home,2025-09-07 00:00:00,1:00 PM,PIT,NYJ,,,Home,0.4131680661068906,,,,,,,138.0,-148.0,0.4131680661068906,3.0,3.0,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,WSH,NYG,Home,2025-09-07 00:00:00,1:00 PM,NYG,WSH,,,Home,0.5,,,,,,,,,,,,,,0,0,0,0,,,,,,,6,,,,,,,,,
1,DEN,TEN,Home,2025-09-07 00:00:00,4:05 PM,TEN,DEN,,,Home,0.7639751552795031,,,,,,,-375.0,310.0,0.7639751552795031,-7.5,-7.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,SEA,SF,Home,2025-09-07 00:00:00,4:05 PM,SF,SEA,,,Home,0.355270821199767,,,,,,,170.0,-205.0,0.355270821199767,4.5,4.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,GB,DET,Home,2025-09-07 00:00:00,4:25 PM,DET,GB,,,Home,0.4170073589533933,,,,,,,130.0,-155.0,0.4170073589533933,2.5,2.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,LAR,HOU,Home,2025-09-07 00:00:00,4:25 PM,HOU,LAR,,,Home,0.5574886535552194,,,,,,,-134.0,120.0,0.5574886535552194,-2.5,-2.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,BUF,BAL,Home,2025-09-07 00:00:00,8:20 PM,BAL,BUF,,,Home,0.5240193918025562,,,,,,,-116.0,105.0,0.5240193918025562,-1.5,-1.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
1,CHI,MIN,Home,2025-09-08 00:00:00,8:15 PM,MIN,CHI,,,Home,0.4365079365079364,,,,,,,120.0,-142.0,0.4365079365079364,2.5,2.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
2,GB,WSH,Home,2025-09-11 00:00:00,8:15 PM,WSH,GB,,,Home,0.5,,,,,,,,,,,,,,0,0,0,0,,,,,,,6,,,,,,,,,
2,CIN,JAX,Home,2025-09-14 00:00:00,1:00 PM,JAX,CIN,,,Home,0.6750312469954812,,,,,,,-238.0,195.0,0.6750312469954812,-5.5,-5.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
2,DAL,NYG,Home,2025-09-14 00:00:00,1:00 PM,NYG,DAL,,,Home,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,,0,0,0,1,,,,,,,6,False,True,False,False,False,,,,
2,DET,CHI,Home,2025-09-14 00:00:00,1:00 PM,CHI,DET,,,Home,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,,0,0,0,1,,,,,,,6,False,True,False,False,False,,,,
2,MIA,NE,Home,2025-09-14 00:00:00,1:00 PM,NE,MIA,,,Home,0.448558885283451,,,,,,,114.0,-135.0,0.448558885283451,2.5,2.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
2,NO,SF,Home,2025-09-14 00:00:00,1:00 PM,SF,NO,,,Home,0.2664576802507837,,,,,,,260.0,-325.0,0.2664576802507837,7.0,7.0,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
2,NYJ,BUF,Home,2025-09-14 00:00:00,1:00 PM,BUF,NYJ,,,Home,0.2340978954835658,,,,,,,310.0,-395.0,0.2340978954835658,9.5,9.5,,,0,0,0,0,,,,,,,6,False,True,False,False,False,,,,
