week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes
1,ATL,TB,Home,,,,,,,,,,,
1,BUF,BAL,Home,,,,,,,,,,,
1,CHI,MIN,Home,,,,,,,,,,,
1,CLE,CIN,Home,,,,,,,,,,,
1,DEN,TEN,Home,,,,,,,,,,,
1,GB,DET,Home,,,,,,,,,,,
1,IND,MIA,Home,,,,,,,,,,,
1,JAX,CAR,Home,,,,,,,,,,,
1,LAC,KC,Home,,,,,,,,,,,
1,LAR,HOU,Home,,,,,,,,,,,
1,NE,LV,Home,,,,,,,,,,,
1,NO,ARI,Home,,,,,,,,,,,
1,NYJ,PIT,Home,,,,,,,,,,,
1,PHI,DAL,Home,,,,,,,,,,,
1,SEA,SF,Home,,,,,,,,,,,
1,WSH,NYG,Home,,,,,,,,,,,
2,ARI,CAR,Home,,,,,,,,,,,
2,BAL,CLE,Home,,,,,,,,,,,
2,CIN,JAX,Home,,,,,,,,,,,
2,DAL,NYG,Home,,,,,,,,,,,
2,DET,CHI,Home,,,,,,,,,,,
2,GB,WSH,Home,,,,,,,,,,,
2,HOU,TB,Home,,,,,,,,,,,
2,IND,DEN,Home,,,,,,,,,,,
2,KC,PHI,Home,,,,,,,,,,,
2,LV,LAC,Home,,,,,,,,,,,
2,MIA,NE,Home,,,,,,,,,,,
2,MIN,ATL,Home,,,,,,,,,,,
2,NO,SF,Home,,,,,,,,,,,
2,NYJ,BUF,Home,,,,,,,,,,,
2,PIT,SEA,Home,,,,,,,,,,,
2,TEN,LAR,Home,,,,,,,,,,,
3,BAL,DET,Home,,,,,,,,,,,
3,BUF,MIA,Home,,,,,,,,,,,
3,CAR,ATL,Home,,,,,,,,,,,
3,CHI,DAL,Home,,,,,,,,,,,
3,CLE,GB,Home,,,,,,,,,,,
3,JAX,HOU,Home,,,,,,,,,,,
3,LAC,DEN,Home,,,,,,,,,,,
3,MIN,CIN,Home,,,,,,,,,,,
3,NE,PIT,Home,,,,,,,,,,,
3,NYG,KC,Home,,,,,,,,,,,
3,PHI,LAR,Home,,,,,,,,,,,
3,SEA,NO,Home,,,,,,,,,,,
3,SF,ARI,Home,,,,,,,,,,,
3,TB,NYJ,Home,,,,,,,,,,,
3,TEN,IND,Home,,,,,,,,,,,
3,WSH,LV,Home,,,,,,,,,,,
4,ARI,SEA,Home,,,,,,,,,,,
4,ATL,WSH,Home,,,,,,,,,,,
4,BUF,NO,Home,,,,,,,,,,,
4,DAL,GB,Home,,,,,,,,,,,
4,DEN,CIN,Home,,,,,,,,,,,
4,DET,CLE,Home,,,,,,,,,,,
4,HOU,TEN,Home,,,,,,,,,,,
4,KC,BAL,Home,,,,,,,,,,,
4,LAR,IND,Home,,,,,,,,,,,
4,LV,CHI,Home,,,,,,,,,,,
4,MIA,NYJ,Home,,,,,,,,,,,
4,NE,CAR,Home,,,,,,,,,,,
4,NYG,LAC,Home,,,,,,,,,,,
4,PIT,MIN,Home,,,,,,,,,,,
4,SF,JAX,Home,,,,,,,,,,,
4,TB,PHI,Home,,,,,,,,,,,
5,ARI,TEN,Home,,,,,,,,,,,
5,ATL,BYE,Home,,,,,,,,,,,
5,BAL,HOU,Home,,,,,,,,,,,
5,BUF,NE,Home,,,,,,,,,,,
5,CAR,MIA,Home,,,,,,,,,,,
5,CHI,BYE,Home,,,,,,,,,,,
5,CIN,DET,Home,,,,,,,,,,,
5,CLE,MIN,Home,,,,,,,,,,,
5,GB,BYE,Home,,,,,,,,,,,
5,IND,LV,Home,,,,,,,,,,,
5,JAX,KC,Home,,,,,,,,,,,
5,LAC,WSH,Home,,,,,,,,,,,
5,LAR,SF,Home,,,,,,,,,,,
5,NO,NYG,Home,,,,,,,,,,,
5,NYJ,DAL,Home,,,,,,,,,,,
5,PHI,DEN,Home,,,,,,,,,,,
5,PIT,BYE,Home,,,,,,,,,,,
5,SEA,TB,Home,,,,,,,,,,,
6,ATL,BUF,Home,,,,,,,,,,,
6,BAL,LAR,Home,,,,,,,,,,,
6,CAR,DAL,Home,,,,,,,,,,,
6,GB,CIN,Home,,,,,,,,,,,
6,HOU,BYE,Home,,,,,,,,,,,
6,IND,ARI,Home,,,,,,,,,,,
6,JAX,SEA,Home,,,,,,,,,,,
6,KC,DET,Home,,,,,,,,,,,
6,LV,TEN,Home,,,,,,,,,,,
6,MIA,LAC,Home,,,,,,,,,,,
6,MIN,BYE,Home,,,,,,,,,,,
6,NO,NE,Home,,,,,,,,,,,
6,NYG,PHI,Home,,,,,,,,,,,
6,NYJ,DEN,Home,,,,,,,,,,,
6,PIT,CLE,Home,,,,,,,,,,,
6,TB,SF,Home,,,,,,,,,,,
6,WSH,CHI,Home,,,,,,,,,,,
7,ARI,GB,Home,,,,,,,,,,,
7,BAL,BYE,Home,,,,,,,,,,,
7,BUF,BYE,Home,,,,,,,,,,,
7,CHI,NO,Home,,,,,,,,,,,
7,CIN,PIT,Home,,,,,,,,,,,
7,CLE,MIA,Home,,,,,,,,,,,
7,DAL,WSH,Home,,,,,,,,,,,
7,DEN,NYG,Home,,,,,,,,,,,
7,DET,TB,Home,,,,,,,,,,,
7,JAX,LAR,Home,,,,,,,,,,,
7,KC,LV,Home,,,,,,,,,,,
7,LAC,IND,Home,,,,,,,,,,,
7,MIN,PHI,Home,,,,,,,,,,,
7,NYJ,CAR,Home,,,,,,,,,,,
7,SEA,HOU,Home,,,,,,,,,,,
7,SF,ATL,Home,,,,,,,,,,,
7,TEN,NE,Home,,,,,,,,,,,
8,ARI,BYE,Home,,,,,,,,,,,
8,ATL,MIA,Home,,,,,,,,,,,
8,BAL,CHI,Home,,,,,,,,,,,
