week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score,max_future_prob,future_depth_ge55,future_depth_ge60
1,2025-09-07,ARI,NO,Away,1:00 PM,7,False,False,False,Low,0.339,,,False,False,False,,0.2712,0.7041,10,8
2,2025-09-14,ARI,CAR,Home,4:05 PM,7,False,False,False,Medium,0.6721,,,False,False,False,,0.5877,0.7041,9,7
3,2025-09-21,ARI,SF,Away,4:25 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.7041,9,7
4,2025-09-25,ARI,SEA,Home,8:15 PM,4,False,False,False,Low,0.5495,,,False,False,False,,0.4896,0.7041,9,7
5,2025-10-05,ARI,TEN,Home,4:05 PM,10,False,False,False,Medium,0.7041,,,False,False,False,,0.6133,0.6923,8,6
6,2025-10-12,ARI,IND,Away,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.6923,8,6
7,2025-10-19,ARI,GB,Home,4:25 PM,7,False,False,False,Low,0.495,,,False,False,False,,0.446,0.6923,8,6
9,2025-11-03,ARI,DAL,Away,8:15 PM,15,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.6923,7,6
10,2025-11-09,ARI,SEA,Away,4:05 PM,6,False,False,False,Low,0.5495,,,False,False,False,,0.4396,0.6923,7,6
11,2025-11-16,ARI,SF,Home,4:05 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.6923,7,6
12,2025-11-23,ARI,JAX,Home,4:05 PM,7,False,False,False,Medium,0.6183,,,False,False,False,,0.5446,0.6923,6,5
13,2025-11-30,ARI,TB,Away,1:00 PM,7,False,False,False,Medium,0.6491,,,False,False,False,,0.5193,0.6923,5,4
14,2025-12-07,ARI,LAR,Home,4:25 PM,7,False,False,False,Medium,0.6923,,,False,False,False,,0.6038,0.6923,4,3
15,2025-12-14,ARI,HOU,Away,1:00 PM,7,False,False,False,Low,0.5745,,,False,False,False,,0.4596,0.6923,3,3
16,2025-12-21,ARI,ATL,Home,4:05 PM,7,False,False,False,Medium,0.6491,,,False,False,False,,0.5693,0.6923,2,2
17,2025-12-28,ARI,CIN,Away,1:00 PM,7,False,False,False,Medium,0.6575,,,False,False,False,,0.526,0.6923,1,1
18,2026-01-04,ARI,LAR,Away,1:00 PM,7,False,False,False,Medium,0.6923,,,False,False,False,,0.5538,0.0,0,0
1,2025-09-07,ATL,TB,Home,1:00 PM,7,False,False,False,Medium,0.7041,,,False,False,False,,0.6133,0.7403,10,8
2,2025-09-14,ATL,MIN,Away,8:20 PM,7,False,False,False,Medium,0.6855,,,False,False,False,,0.5484,0.7403,9,7
3,2025-09-21,ATL,CAR,Away,1:00 PM,7,False,False,False,Low,0.6241,,,False,False,False,,0.4993,0.7403,8,6
4,2025-09-28,ATL,WSH,Home,1:00 PM,7,False,False,False,Low,0.3937,,,False,False,False,,0.365,0.7403,8,6
6,2025-10-13,ATL,BUF,Home,7:15 PM,15,False,False,False,Low,0.3333,,,False,False,False,,0.3666,0.7403,8,6
7,2025-10-19,ATL,SF,Away,8:20 PM,6,False,False,False,Medium,0.7403,,,False,False,False,,0.5922,0.7041,7,5
8,2025-10-26,ATL,MIA,Home,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.7041,6,5
9,2025-11-02,ATL,NE,Away,1:00 PM,7,False,False,False,Low,0.6241,,,False,False,False,,0.4993,0.7041,5,4
10,2025-11-09,ATL,IND,Away,9:30 AM,7,False,False,False,Low,0.5122,,,False,False,False,,0.4098,0.7041,5,4
11,2025-11-16,ATL,CAR,Home,1:00 PM,7,False,False,False,Medium,0.6241,,,False,False,False,,0.5493,0.7041,4,3
12,2025-11-23,ATL,NO,Away,4:25 PM,7,False,False,False,Medium,0.6923,,,False,False,False,,0.5038,0.7041,3,2
13,2025-11-30,ATL,NYJ,Away,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.7041,3,2
14,2025-12-07,ATL,SEA,Home,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.7041,2,2
15,2025-12-11,ATL,TB,Away,8:15 PM,4,False,False,False,Medium,0.7041,,,False,False,False,,0.5633,0.6923,1,1
16,2025-12-21,ATL,ARI,Away,4:05 PM,10,False,False,False,Low,0.3937,,,False,False,False,,0.315,0.6923,1,1
17,2025-12-29,ATL,LAR,Home,8:15 PM,8,False,False,False,Low,0.4167,,,False,False,False,,0.3834,0.6923,1,1
18,2026-01-04,ATL,NO,Home,1:00 PM,6,False,False,False,Medium,0.6923,,,False,False,False,,0.6038,0.0,0,0
1,2025-09-07,BAL,BUF,Away,8:20 PM,7,False,False,False,Low,0.537,,,False,False,False,,0.4296,0.8571,7,6
2,2025-09-14,BAL,CLE,Home,1:00 PM,7,False,False,False,Low,0.2381,,,False,False,False,,0.2405,0.8571,7,6
3,2025-09-22,BAL,DET,Home,8:15 PM,8,False,False,False,Medium,0.6575,,,False,False,False,,0.576,0.8571,6,5
4,2025-09-28,BAL,KC,Away,4:25 PM,6,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.8571,5,5
5,2025-10-05,BAL,HOU,Home,1:00 PM,7,False,False,False,Medium,0.7826,,,False,False,False,,0.6761,0.8571,4,4
6,2025-10-12,BAL,LAR,Home,1:00 PM,7,False,False,False,Medium,0.7143,,,False,False,False,,0.6214,0.8571,3,3
8,2025-10-26,BAL,CHI,Home,1:00 PM,14,False,False,False,High,0.7647,,,False,False,False,,0.7118,0.8571,2,2
9,2025-10-30,BAL,MIA,Away,8:15 PM,4,False,False,False,Low,0.3333,,,False,False,False,,0.2666,0.8571,2,2
10,2025-11-09,BAL,MIN,Away,1:00 PM,10,False,False,False,Low,0.3937,,,False,False,False,,0.315,0.8571,2,2
