week,team,opponent,home_or_away,projected_win_prob,spot_value,spot_value_score
1,DEN,TEN,Home,0.7639751552795031,Medium,0.5072254860197694
1,PHI,DAL,Home,0.62,Medium,0.4640185199902378
1,NE,LV,Home,0.5946894746920278,Low,0.4214332569762554
1,ATL,TB,Home,0.55,Low,0.4168391743832068
1,JAX,CAR,Home,0.5863427445830597,Low,0.4165444736466776
1,ARI,NO,Away,0.6892525512549417,Low,0.4034742292485
1,LAR,HOU,Home,0.5574886535552194,Low,0.3991963126230868
1,CLE,CIN,Home,0.53,Low,0.3902727177399384
1,BUF,BAL,Home,0.5240193918025562,Low,0.3784394137085209
1,IND,MIA,Home,0.5089094796863863,Low,0.3689449692641436
1,WSH,NYG,Home,0.5,Low,0.3633333333333333
1,PIT,NYJ,Away,0.5868319338931095,Low,0.3257767462770249
1,CHI,MIN,Home,0.4365079365079364,Low,0.3238101635964572
1,GB,DET,Home,0.4170073589533933,Low,0.3121022258362023
1,NYJ,PIT,Home,0.4131680661068906,Low,0.3098338983540116
1,SEA,SF,Home,0.355270821199767,Low,0.2774821950951726
1,NO,ARI,Home,0.3107474487450583,Low,0.2554541103473028
1,DAL,PHI,Away,0.5,Low,0.2433333333333333
1,KC,LAC,Away,0.5,Low,0.2433333333333333
1,TB,ATL,Away,0.5,Low,0.2433333333333333
1,CIN,CLE,Away,0.5,Low,0.2433333333333333
1,NYG,WSH,Away,0.5,Low,0.2433333333333333
1,SF,SEA,Away,0.5,Low,0.2433333333333333
1,DET,GB,Away,0.5,Low,0.2433333333333333
1,MIN,CHI,Away,0.5,Low,0.2433333333333333
1,MIA,IND,Away,0.4910905203136137,Low,0.237721697402523
1,LAC,KC,Home,0.41,Low,0.2299542435976961
1,BAL,BUF,Away,0.4759806081974437,Low,0.2282272529581456
1,HOU,LAR,Away,0.4425113464447806,Low,0.2074703540435797
1,CAR,JAX,Away,0.4136572554169402,Low,0.1901221930199889
1,LV,NE,Away,0.4053105253079722,Low,0.1852334096904112
1,TEN,DEN,Away,0.2360248447204969,Low,0.1048386640401389
2,BAL,CLE,Home,0.7600000000000001,Medium,0.5004017415853513
2,CIN,JAX,Home,0.6750312469954812,Medium,0.4644739110148712
2,MIN,ATL,Home,0.6636481241914618,Medium,0.4588761193561635
